Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Max,Top5SharePositiveSum,Top10SharePositiveSum,Stop,Target,CollisionMode
47,-0.22872340425531915,-0.75,-0.16785620266638354,0.44680851063829785,0.9424364123159303,-10.0,16.0,0.2727272727272727,0.45454545454545453,10.0,16.0,conservative
47,-0.28191489361702127,-0.75,-0.2524876405567885,0.44680851063829785,0.9173166926677067,-8.0,12.0,0.24489795918367346,0.40816326530612246,8.0,12.0,conservative
47,-0.324468085106383,-2.0,-0.5317879369958254,0.1702127659574468,0.8044871794871795,-2.0,12.0,0.5737051792828686,0.8844621513944223,2.0,12.0,conservative
47,-0.34574468085106386,-3.75,-0.3468034581849396,0.40425531914893614,0.8883161512027491,-6.0,12.0,0.27852998065764023,0.46421663442940037,6.0,12.0,conservative
47,-0.4787234042553192,-4.0,-0.5744748128115246,0.2978723404255319,0.8189134808853119,-4.0,12.0,0.3538083538083538,0.5896805896805897,4.0,12.0,conservative
47,-0.4946808510638298,-2.0,-0.9220386918037016,0.1702127659574468,0.7019230769230769,-2.0,10.0,0.547945205479452,0.867579908675799,2.0,10.0,conservative
47,-0.5691489361702128,-2.0,-1.1491520491349139,0.1702127659574468,0.657051282051282,-2.0,8.0,0.4682926829268293,0.7804878048780488,2.0,8.0,conservative
47,-0.574468085106383,-0.75,-0.5504848672482469,0.44680851063829785,0.8315132605304212,-8.0,10.0,0.225140712945591,0.37523452157598497,8.0,10.0,conservative
47,-0.648936170212766,-0.5,-0.5056458349412674,0.46808510638297873,0.8390501319261213,-12.0,12.0,0.22641509433962265,0.37735849056603776,12.0,12.0,conservative
47,-0.6861702127659575,-3.75,-0.7561571653046222,0.40425531914893614,0.7783505154639175,-6.0,10.0,0.26490066225165565,0.44150110375275936,6.0,10.0,conservative
47,-0.7340425531914894,-4.0,-0.9760482170441093,0.2978723404255319,0.7223340040241448,-4.0,10.0,0.3342618384401114,0.5571030640668524,4.0,10.0,conservative
47,-0.7446808510638298,-4.0,-1.030878887674355,0.2978723404255319,0.7183098591549296,-4.0,8.0,0.2689075630252101,0.4481792717086835,4.0,8.0,conservative
47,-0.7553191489361702,-0.75,-0.7654206814647883,0.44680851063829785,0.7784711388455539,-8.0,8.0,0.19238476953907815,0.32064128256513025,8.0,8.0,conservative
47,-0.7819148936170213,-3.75,-0.9067084316564069,0.40425531914893614,0.7474226804123711,-6.0,8.0,0.2206896551724138,0.367816091954023,6.0,8.0,conservative
47,-0.824468085106383,-2.0,-2.062081392118388,0.1702127659574468,0.5032051282051282,-2.0,6.0,0.4585987261146497,0.7643312101910829,2.0,6.0,conservative
47,-0.8457446808510638,-0.75,-0.7006595990021331,0.44680851063829785,0.7871485943775101,-10.0,12.0,0.24489795918367346,0.40816326530612246,10.0,12.0,conservative
47,-0.9840425531914894,-0.5,-0.8136708115124267,0.46808510638297873,0.7559366754617414,-12.0,10.0,0.2094240837696335,0.34904013961605584,12.0,10.0,conservative
47,-1.0212765957446808,-2.0,-3.18009073757914,0.1702127659574468,0.38461538461538464,-2.0,4.0,0.4,0.6666666666666666,2.0,4.0,conservative
47,-1.127659574468085,-0.5,-1.2618075767319505,0.46808510638297873,0.6634920634920635,-8.0,6.0,0.1722488038277512,0.28708133971291866,8.0,6.0,conservative
47,-1.1329787234042554,-4.0,-1.8265241648850534,0.2978723404255319,0.5714285714285714,-4.0,6.0,0.2535211267605634,0.4225352112676056,4.0,6.0,conservative
47,-1.1382978723404256,-0.75,-1.0013637350493225,0.44680851063829785,0.713520749665328,-10.0,10.0,0.225140712945591,0.37523452157598497,10.0,10.0,conservative
47,-1.1436170212765957,4.0,-1.1364531677883019,0.6170212765957447,0.6732522796352584,-12.0,4.0,0.10835214446952596,0.18058690744920994,12.0,4.0,conservative
47,-1.1648936170212767,0.75,-1.0795897093271574,0.5319148936170213,0.691114245416079,-12.0,6.0,0.1469387755102041,0.24489795918367346,12.0,6.0,conservative
47,-1.2074468085106382,-0.5,-1.0488456196120115,0.46808510638297873,0.7005277044854882,-12.0,8.0,0.1807909604519774,0.3013182674199623,12.0,8.0,conservative
47,-1.2074468085106382,2.0,-1.4606447980820518,0.5319148936170213,0.6254125412541254,-8.0,4.0,0.1266490765171504,0.21108179419525067,8.0,4.0,conservative
47,-1.2074468085106382,-2.25,-1.7168119937938224,0.46808510638297873,0.5931899641577061,-6.0,4.0,0.14501510574018128,0.24169184290030213,6.0,4.0,conservative
47,-1.2553191489361701,-3.75,-1.654610156010554,0.40425531914893614,0.5945017182130584,-6.0,6.0,0.20809248554913296,0.3468208092485549,6.0,6.0,conservative
47,-1.3191489361702127,-0.75,-1.2182484963478921,0.44680851063829785,0.6680053547523427,-10.0,8.0,0.19238476953907815,0.32064128256513025,10.0,8.0,conservative
47,-1.3191489361702127,4.0,-1.4097777129782254,0.574468085106383,0.6236722306525038,-10.0,4.0,0.11678832116788321,0.19464720194647203,10.0,4.0,conservative
47,-1.3191489361702127,-2.0,-5.951594270359359,0.1702127659574468,0.20512820512820512,-2.0,2.0,0.375,0.625,2.0,2.0,conservative
47,-1.398936170212766,-4.0,-2.6053488166185406,0.3191489361702128,0.4686868686868687,-4.0,4.0,0.20689655172413793,0.3448275862068966,4.0,4.0,conservative
47,-1.425531914893617,0.0,-1.4231102245803142,0.48936170212765956,0.6225352112676056,-10.0,6.0,0.16289592760180996,0.27149321266968324,10.0,6.0,conservative
47,-1.6914893617021276,2.0,-1.9392203259474043,0.6808510638297872,0.445993031358885,-12.0,2.0,0.09375,0.15625,12.0,2.0,conservative
47,-1.7819148936170213,2.0,-2.2319170006263818,0.6382978723404256,0.41739130434782606,-10.0,2.0,0.1,0.16666666666666666,10.0,2.0,conservative
47,-1.9095744680851063,-1.5,-3.309175908870541,0.48936170212765956,0.3388581952117864,-6.0,2.0,0.13043478260869565,0.21739130434782608,6.0,2.0,conservative
47,-1.9946808510638299,-4.0,-4.886100552476909,0.3191489361702128,0.24242424242424243,-4.0,2.0,0.2,0.3333333333333333,4.0,2.0,conservative
47,-2.0372340425531914,2.0,-2.8982300787996356,0.5531914893617021,0.35194585448392557,-8.0,2.0,0.11538461538461539,0.19230769230769232,8.0,2.0,conservative
