APVA Neutral Failure Timing Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
ReferenceFailureCount: 113
StableControlCount: 1012
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
NeutralProcessing_Age2 | 40 | 0 | 0 | 40 | 35.40%
NeutralProcessing_Age6-10 | 39 | 0 | 0 | 39 | 34.51%
NeutralProcessing_Age3 | 15 | 0 | 0 | 15 | 13.27%
NeutralProcessing_Age11-20 | 10 | 0 | 0 | 10 | 8.85%
NeutralProcessing_Age5 | 7 | 0 | 0 | 7 | 6.19%
NeutralProcessing_Age4 | 2 | 0 | 0 | 2 | 1.77%

2. Warning Window Signal Table
FailureNode | AgeBucket | Horizon | Signal | FailureMean | ControlMean | EffectSize | ReplicationCount
4 | BodyPressure+EfficiencyPressure+CloseExtremePressure | 2 | NeutralProcessing_Age5
6-10 | BodyPressure+EfficiencyPressure+CloseExtremePressure | 2 | NeutralProcessing_Age6-10
2 | RangePressure+VolumePressure+PolarityInstability | 2 | ReassertionProcessing_Age1
4 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure | 2 | NeutralProcessing_Age5
3 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure | 2 | NeutralProcessing_Age4
2 | RangePressure+BodyPressure+EfficiencyPressure+PolarityInstability | 2 | NeutralProcessing_Age3
5 | RangePressure+BodyPressure+VolumePressure | 2 | NeutralProcessing_Age6-10
4 | VolumePressure+CloseExtremePressure+PolarityInstability | 1 | NeutralProcessing_Age5
5 | RangePressure+BodyPressure+EfficiencyPressure+CloseExtremePressure | 1 | MixedStructure_Age1
5 | BodyPressure+EfficiencyPressure+PolarityInstability | 1 | NeutralProcessing_Age6-10
2 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 1 | NeutralProcessing_Age3
2 | BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 1 | MixedStructure_Age1
4 | RangePressure+VolumePressure+CloseExtremePressure+PolarityInstability | 1 | NeutralProcessing_Age5
2 | BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure | 1 | NeutralProcessing_Age3

9. Missed Failure Anatomy Table
FailureNode | DestinationFamily | Count | TopMissingSignal
NeutralProcessing_Age2 | ReassertionProcessing | 13 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age6-10 | ReassertionProcessing | 9 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age6-10 | MixedStructure | 5 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | MixedStructure | 4 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | MixedStructure | 3 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age5 | ReassertionProcessing | 2 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age3 | ReassertionProcessing | 2 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age6-10 | MixedStructure | 2 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age6-10 | CompressionProcessing | 2 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age6-10 | ReassertionProcessing | 2 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age3 | CompressionProcessing | 1 | RangePressure+BodyPressure+CloseExtremePressure
NeutralProcessing_Age6-10 | MixedStructure | 1 | BodyPressure+VolumePressure+EfficiencyPressure
NeutralProcessing_Age6-10 | ReassertionProcessing | 1 | BodyPressure+EfficiencyPressure+CloseExtremePressure
NeutralProcessing_Age11-20 | MixedStructure | 1 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age11-20 | ReassertionProcessing | 1 | BodyPressure+EfficiencyPressure+CloseExtremePressure
NeutralProcessing_Age3 | MixedStructure | 1 | BodyPressure+EfficiencyPressure+CloseExtremePressure
NeutralProcessing_Age6-10 | ReassertionProcessing | 1 | RangePressure+VolumePressure+CloseExtremePressure
NeutralProcessing_Age11-20 | ExhaustionPersistence | 1 | BodyPressure+EfficiencyPressure+CloseExtremePressure
NeutralProcessing_Age6-10 | ExhaustionPersistence | 1 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | CompressionProcessing | 1 | BodyPressure+VolumePressure+EfficiencyPressure
NeutralProcessing_Age11-20 | ConstructiveEmergence | 1 | RangePressure+VolumePressure+CloseExtremePressure
NeutralProcessing_Age5 | CompressionProcessing | 1 | BodyPressure+EfficiencyPressure+CloseExtremePressure
NeutralProcessing_Age5 | MixedStructure | 1 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age11-20 | MixedStructure | 1 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | MixedStructure | 1 | BodyPressure+EfficiencyPressure+CloseExtremePressure
NeutralProcessing_Age6-10 | ReassertionProcessing | 1 | BodyPressure+VolumePressure+EfficiencyPressure
NeutralProcessing_Age11-20 | CompressionProcessing | 1 | RangePressure+VolumePressure+CloseExtremePressure

10. Cross-Instrument Replication Table
Instrument | Threshold | DetectionRate | FalsePositiveRate | Precision | Recall
NQ | >=1 | 86.73% | 36.52% | 28.32% | 86.73%
NQ | >=2 | 69.03% | 31.52% | 26.71% | 69.03%
NQ | >=3 | 46.02% | 22.83% | 25.12% | 46.02%
NQ | >=4 | 22.12% | 12.08% | 23.36% | 22.12%

11. Revised State Machine Table
State | EntryRule | ExitRule | OverlayRule
NeutralFormation | NeutralProcessing_Age1 | Age advances to mature Neutral | FailureWarningScore available but not state-defining
NeutralMaturation | NeutralProcessing_Age2-4 | Age enters LateNeutral or non-neutral appears | Score >= threshold means FailurePressure
LateNeutral | NeutralProcessing_Age5+ | Non-neutral state appears | Score >= threshold means FailurePressure
DestinationSelection | First non-neutral state appears | Next non-neutral bar or return path | DestinationFamily becomes known causally
Excursion | Non-neutral continuation after destination | DecayToNeutral or NeutralProcessing_Age1 | Score not used for phase assignment
ReturnToNeutral | DecayToNeutral or final non-neutral reset context | NeutralProcessing_Age1 | Return pressure observed from state only

