APVA Context Disambiguation Study v0.1
Frozen candidate validation. Research only. No trades, optimization, fitting, machine learning, or parameter search.

Diagnostics
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
State counts: RecoveryResolution=68, ExhaustionPersistence=107, CompressionProcessing=205, NeutralProcessing=976, ReassertionProcessing=179, DecayToNeutral=86, DestructiveRotation=79, ConstructiveEmergence=14, MixedStructure=216
Age counts: 1=976, 2=327, 3=175, 4=114, 5=94, 6-10=207, 11-20=37, 21+=0
Distinct context count: 156

1. Candidate summary
Candidate | Description | Count | DirectionAgreement
A | NeutralProcessing -> CompressionProcessing Age 3 | 9 | Negative
B | RecoveryResolution -> CompressionProcessing Age 3 | 11 | Negative
C | RecoveryResolution -> NeutralProcessing Age 1 | 13 | Positive
D | DecayToNeutral -> NeutralProcessing Age 4 | 23 | Positive
E | Baseline CompressionProcessing Age 3 | 30 | Positive
F | Baseline NeutralProcessing Age 1 | 297 | Positive
G | Baseline NeutralProcessing Age 4 | 82 | Negative

2. Outcome validation
Candidate | Count | MeanDRFwd5 | MedianDRFwd5 | ContinuationRate5 | FailureRate5 | FlatRate5 | OutcomeSkew | StdDevDRFwd5 | MaxFavorableDRFwd5 | MaxAdverseDRFwd5
D | t+3 | MixedStructure | 7 | 30.43% | 2.7534 | 1.4216 | 0.7934 | NeutralProcessing | 43.48%
D | t+3 | ReassertionProcessing | 2 | 8.70% | 0.9361 | 1.4216 | 0.7934 | NeutralProcessing | 43.48%
D | t+3 | ExhaustionPersistence | 2 | 8.70% | 1.5660 | 1.4216 | 0.7934 | NeutralProcessing | 43.48%
D | t+3 | CompressionProcessing | 1 | 4.35% | 0.4087 | 1.4216 | 0.7934 | NeutralProcessing | 43.48%
D | t+3 | DecayToNeutral | 1 | 4.35% | 0.9742 | 1.4216 | 0.7934 | NeutralProcessing | 43.48%
D | t+5 | NeutralProcessing | 8 | 34.78% | 0.6867 | 1.5001 | 0.9321 | NeutralProcessing | 34.78%
D | t+5 | MixedStructure | 6 | 26.09% | 2.3687 | 1.5001 | 0.9321 | NeutralProcessing | 34.78%
D | t+5 | ReassertionProcessing | 4 | 17.39% | 1.8703 | 1.5001 | 0.9321 | NeutralProcessing | 34.78%
D | t+5 | ExhaustionPersistence | 3 | 13.04% | 2.3466 | 1.5001 | 0.9321 | NeutralProcessing | 34.78%
D | t+5 | CompressionProcessing | 2 | 8.70% | 0.8165 | 1.5001 | 0.9321 | NeutralProcessing | 34.78%
E | t+1 | CompressionProcessing | 18 | 60.00% | 5.6459 | 1.1965 | 0.7434 | CompressionProcessing | 60.00%
E | t+1 | NeutralProcessing | 5 | 16.67% | 0.3294 | 1.1965 | 0.7434 | CompressionProcessing | 60.00%
E | t+1 | DecayToNeutral | 3 | 10.00% | 2.2430 | 1.1965 | 0.7434 | CompressionProcessing | 60.00%
E | t+1 | ExhaustionPersistence | 2 | 6.67% | 1.2019 | 1.1965 | 0.7434 | CompressionProcessing | 60.00%
E | t+1 | RecoveryResolution | 2 | 6.67% | 1.8912 | 1.1965 | 0.7434 | CompressionProcessing | 60.00%
E | t+2 | CompressionProcessing | 12 | 40.00% | 3.7620 | 1.5632 | 0.8033 | CompressionProcessing | 40.00%
E | t+2 | NeutralProcessing | 9 | 30.00% | 0.5926 | 1.5632 | 0.8033 | CompressionProcessing | 40.00%
E | t+2 | ExhaustionPersistence | 2 | 6.67% | 1.2012 | 1.5632 | 0.8033 | CompressionProcessing | 40.00%
E | t+2 | DecayToNeutral | 2 | 6.67% | 1.4946 | 1.5632 | 0.8033 | CompressionProcessing | 40.00%
E | t+2 | MixedStructure | 2 | 6.67% | 0.6006 | 1.5632 | 0.8033 | CompressionProcessing | 40.00%
E | t+2 | DestructiveRotation | 2 | 6.67% | 1.6270 | 1.5632 | 0.8033 | CompressionProcessing | 40.00%
E | t+2 | RecoveryResolution | 1 | 3.33% | 0.9451 | 1.5632 | 0.8033 | CompressionProcessing | 40.00%
E | t+3 | NeutralProcessing | 12 | 40.00% | 0.7898 | 1.6397 | 0.8426 | NeutralProcessing | 40.00%
