APVA Loop Closure Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Loop candidates: 114

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
NQ | 113 | 1 | 0 | 99.12% | 11.1504 | 10.0000 | 30
Aggregate | 113 | 1 | 0 | 99.12% | 11.1504 | 10.0000 | 30

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
NeutralStart -> Age5 -> MixedStructure -> MixedStructure -> DestructiveRotation -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.88% | 1 | 18.0000
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> DestructiveRotation -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.88% | 1 | 19.0000
NeutralStart -> Age11-20 -> ConstructiveEmergence -> ConstructiveEmergence -> ConstructiveEmergence -> NeutralStart | 1 | 0.88% | 1 | 15.0000
NeutralStart -> Age2 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 1 | 0.88% | 1 | 4.0000
NeutralStart -> Age11-20 -> CompressionProcessing -> CompressionProcessing -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.88% | 1 | 27.0000
NeutralStart -> Age6-10 -> ExhaustionPersistence -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.88% | 1 | 11.0000
NeutralStart -> Age11-20 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 1 | 0.88% | 1 | 15.0000
NeutralStart -> Age4 -> ConstructiveEmergence -> ConstructiveEmergence -> MixedStructure -> MixedStructure -> NeutralStart | 1 | 0.88% | 1 | 7.0000
NeutralStart -> Age5 -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.88% | 1 | 12.0000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> DestructiveRotation -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 1 | 0.88% | 1 | 13.0000
NeutralStart -> Age5 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 1 | 0.88% | 1 | 8.0000
NeutralStart -> Age5 -> MixedStructure -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 1 | 0.88% | 1 | 19.0000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> DestructiveRotation -> DestructiveRotation -> NeutralStart | 1 | 0.88% | 1 | 9.0000
NeutralStart -> Age6-10 -> RecoveryResolution -> RecoveryResolution -> CompressionProcessing -> DecayToNeutral -> ConstructiveEmergence -> MixedStructure -> DecayToNeutral -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 1 | 0.88% | 1 | 20.0000
NeutralStart -> Age11-20 -> ReassertionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 1 | 0.88% | 1 | 18.0000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> ExhaustionPersistence -> CompressionProcessing -> ExhaustionPersistence -> CompressionProcessing -> DecayToNeutral -> DestructiveRotation -> ExhaustionPersistence -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 1 | 0.88% | 1 | 28.0000
NeutralStart -> Age11-20 -> CompressionProcessing -> CompressionProcessing -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.88% | 1 | 24.0000

4. Neutral Maturation Table
MaxNeutralAgeReached | Count | Probability | TopDestinationFamily
2 | 40 | 35.40% | ReassertionProcessing
6-10 | 39 | 34.51% | ReassertionProcessing
3 | 15 | 13.27% | ReassertionProcessing
11-20 | 10 | 8.85% | MixedStructure
5 | 7 | 6.19% | ReassertionProcessing
4 | 2 | 1.77% | ReassertionProcessing

5. Failure Node Table
FailureNode | Count | Probability | TopDestinationFamily | TopReturnFamily
NeutralProcessing_Age2 | 40 | 35.40% | ReassertionProcessing | ReassertionProcessing
NeutralProcessing_Age6-10 | 39 | 34.51% | ReassertionProcessing | DecayToNeutral
NeutralProcessing_Age3 | 15 | 13.27% | ReassertionProcessing | ReassertionProcessing
NeutralProcessing_Age11-20 | 10 | 8.85% | MixedStructure | MixedStructure
NeutralProcessing_Age5 | 7 | 6.19% | ReassertionProcessing | DecayToNeutral
NeutralProcessing_Age4 | 2 | 1.77% | ReassertionProcessing | ReassertionProcessing

6. Destination In Loop Context Table
MaxNeutralAgeReached | FailureNode | DestinationFamily | Count | Probability
2 | NeutralProcessing_Age2 | ReassertionProcessing | 19 | 47.50%
2 | NeutralProcessing_Age2 | MixedStructure | 17 | 42.50%
6-10 | NeutralProcessing_Age6-10 | ReassertionProcessing | 16 | 41.03%
6-10 | NeutralProcessing_Age6-10 | MixedStructure | 13 | 33.33%
3 | NeutralProcessing_Age3 | ReassertionProcessing | 8 | 53.33%
6-10 | NeutralProcessing_Age6-10 | ExhaustionPersistence | 4 | 10.26%
3 | NeutralProcessing_Age3 | CompressionProcessing | 4 | 26.67%
11-20 | NeutralProcessing_Age11-20 | MixedStructure | 4 | 40.00%
5 | NeutralProcessing_Age5 | ReassertionProcessing | 3 | 42.86%
3 | NeutralProcessing_Age3 | MixedStructure | 3 | 20.00%
6-10 | NeutralProcessing_Age6-10 | CompressionProcessing | 3 | 7.69%
5 | NeutralProcessing_Age5 | MixedStructure | 3 | 42.86%
6-10 | NeutralProcessing_Age6-10 | RecoveryResolution | 2 | 5.13%
11-20 | NeutralProcessing_Age11-20 | ReassertionProcessing | 2 | 20.00%
2 | NeutralProcessing_Age2 | CompressionProcessing | 2 | 5.00%
11-20 | NeutralProcessing_Age11-20 | CompressionProcessing | 2 | 20.00%
4 | NeutralProcessing_Age4 | ReassertionProcessing | 1 | 50.00%
2 | NeutralProcessing_Age2 | ConstructiveEmergence | 1 | 2.50%
6-10 | NeutralProcessing_Age6-10 | ConstructiveEmergence | 1 | 2.56%
2 | NeutralProcessing_Age2 | DestructiveRotation | 1 | 2.50%
11-20 | NeutralProcessing_Age11-20 | ExhaustionPersistence | 1 | 10.00%
11-20 | NeutralProcessing_Age11-20 | ConstructiveEmergence | 1 | 10.00%
4 | NeutralProcessing_Age4 | ConstructiveEmergence | 1 | 50.00%
5 | NeutralProcessing_Age5 | CompressionProcessing | 1 | 14.29%

7. Excursion Sequence Table
ExcursionSequence | Count | Probability | ReplicationCount | MeanReturnTime
ReassertionProcessing | 32 | 28.32% | 1 | 1.2188
MixedStructure | 17 | 15.04% | 1 | 1.1765
CompressionProcessing | 7 | 6.19% | 1 | 1.5714
ReassertionProcessing -> MixedStructure | 5 | 4.42% | 1 | 2.0000
MixedStructure -> DecayToNeutral | 4 | 3.54% | 1 | 2.0000
ConstructiveEmergence | 3 | 2.65% | 1 | 1.0000
ReassertionProcessing -> MixedStructure -> ReassertionProcessing -> DestructiveRotation | 2 | 1.77% | 1 | 5.0000
MixedStructure -> ExhaustionPersistence | 2 | 1.77% | 1 | 3.0000
ExhaustionPersistence | 2 | 1.77% | 1 | 2.0000
MixedStructure -> ExhaustionPersistence -> DestructiveRotation -> DecayToNeutral | 2 | 1.77% | 1 | 7.5000
CompressionProcessing -> RecoveryResolution | 2 | 1.77% | 1 | 2.0000
MixedStructure -> DecayToNeutral -> MixedStructure -> DecayToNeutral | 2 | 1.77% | 1 | 4.0000
MixedStructure -> RecoveryResolution -> CompressionProcessing | 2 | 1.77% | 1 | 5.0000
ReassertionProcessing -> MixedStructure -> ConstructiveEmergence -> MixedStructure | 1 | 0.88% | 1 | 4.0000
ReassertionProcessing -> CompressionProcessing | 1 | 0.88% | 1 | 5.0000
ReassertionProcessing -> MixedStructure -> DecayToNeutral | 1 | 0.88% | 1 | 3.0000
CompressionProcessing -> ExhaustionPersistence -> RecoveryResolution | 1 | 0.88% | 1 | 4.0000
RecoveryResolution | 1 | 0.88% | 1 | 1.0000
MixedStructure -> DecayToNeutral -> MixedStructure -> ReassertionProcessing -> MixedStructure | 1 | 0.88% | 1 | 6.0000
