APVA Excursion Destinations Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
Destination event count: 57

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
ReassertionProcessing | EfficiencyRatio | t-2 | 0.4643 | 0.4595 | 0.2622
ReassertionProcessing | EfficiencyRatio | t-3 | 0.3417 | 0.2826 | 0.2243
ReassertionProcessing | EfficiencyRatio | t-5 | 0.4060 | 0.3607 | 0.2232
ReassertionProcessing | CloseLocation | t-1 | 0.4890 | 0.4215 | 0.2445
ReassertionProcessing | CloseLocation | t-2 | 0.4751 | 0.4545 | 0.3120
ReassertionProcessing | CloseLocation | t-3 | 0.5721 | 0.5833 | 0.2715
ReassertionProcessing | CloseLocation | t-5 | 0.4935 | 0.4459 | 0.2917
ReassertionProcessing | MemoryStrength | t-1 | 0.1972 | 0.1972 | 0.0000
ReassertionProcessing | MemoryStrength | t-2 | 0.2310 | 0.1972 | 0.0494
ReassertionProcessing | MemoryStrength | t-3 | 0.2871 | 0.3030 | 0.0729
ReassertionProcessing | MemoryStrength | t-5 | 0.3298 | 0.3638 | 0.0435
ReassertionProcessing | BranchEntropy | t-1 | 1.2412 | 1.2412 | 0.0000
ReassertionProcessing | BranchEntropy | t-2 | 1.0023 | 1.2412 | 0.3482
ReassertionProcessing | BranchEntropy | t-3 | 0.6676 | 0.4947 | 0.4466
ReassertionProcessing | BranchEntropy | t-5 | 0.7488 | 0.8115 | 0.3349
ReassertionProcessing | PolarityFlipFlag | t-1 | 0.4000 | 0.0000 | 0.4899
ReassertionProcessing | PolarityFlipFlag | t-2 | 0.5200 | 1.0000 | 0.4996
ReassertionProcessing | PolarityFlipFlag | t-3 | 0.6800 | 1.0000 | 0.4665
ReassertionProcessing | PolarityFlipFlag | t-5 | 0.5600 | 1.0000 | 0.4964
RecoveryResolution | RangeRelativeToPrevious | t-1 | 2.9658 | 2.9658 | 0.2516
RecoveryResolution | RangeRelativeToPrevious | t-2 | 1.0525 | 1.0525 | 0.2858
RecoveryResolution | RangeRelativeToPrevious | t-3 | 0.8046 | 0.8046 | 0.1631
RecoveryResolution | RangeRelativeToPrevious | t-5 | 0.8454 | 0.8454 | 0.0317
RecoveryResolution | BodyRelativeToPrevious | t-1 | 13.7071 | 13.7071 | 7.0707
RecoveryResolution | BodyRelativeToPrevious | t-2 | 0.6429 | 0.6429 | 0.0000
RecoveryResolution | BodyRelativeToPrevious | t-3 | 0.0761 | 0.0761 | 0.0761
RecoveryResolution | BodyRelativeToPrevious | t-5 | 0.5987 | 0.5987 | 0.0138
RecoveryResolution | TrueRangeRelativeToPrevious | t-1 | 2.9658 | 2.9658 | 0.2516
RecoveryResolution | TrueRangeRelativeToPrevious | t-2 | 1.0525 | 1.0525 | 0.2858
RecoveryResolution | TrueRangeRelativeToPrevious | t-3 | 0.8016 | 0.8016 | 0.1661
RecoveryResolution | TrueRangeRelativeToPrevious | t-5 | 0.8454 | 0.8454 | 0.0317
RecoveryResolution | VolumeRelativeToPrevious | t-1 | 2.1459 | 2.1459 | 0.3834
RecoveryResolution | VolumeRelativeToPrevious | t-2 | 0.8418 | 0.8418 | 0.0737
RecoveryResolution | VolumeRelativeToPrevious | t-3 | 0.9698 | 0.9698 | 0.0283
RecoveryResolution | VolumeRelativeToPrevious | t-5 | 0.9606 | 0.9606 | 0.1238
RecoveryResolution | VolumeRelativeToRollingMean | t-1 | 1.3679 | 1.3679 | 0.1030
RecoveryResolution | VolumeRelativeToRollingMean | t-2 | 0.6342 | 0.6342 | 0.0674
RecoveryResolution | VolumeRelativeToRollingMean | t-3 | 0.7419 | 0.7419 | 0.0168
RecoveryResolution | VolumeRelativeToRollingMean | t-5 | 0.8109 | 0.8109 | 0.2013
RecoveryResolution | VolumeRelativeToSessionMean | t-1 | 1.0204 | 1.0204 | 0.4130
