APVA Stage + Alignment + Breakout Type Study v0.1 - NQ
======================================================
Instrument: NQ
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
Total stage-alignment-breakout observations: 1514
Breakout, SequenceStage, alignment, event, and DRFwd logic are reused from prior studies.
This is a descriptive decomposition of the prior Stage x Alignment result.

Observation Counts by BreakoutType
==================================
IBSYM             458
Lateral          1056

Observation Counts by Stage
===========================
Stage0       128
Stage1       394
Stage2       277
Stage3       257
Stage4       458

Observation Counts by Alignment
===============================
Aligned           757
Opposed           757

Event x Stage x Alignment x BreakoutType
========================================
Event                    Type       Stage Alignment    Count   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
DissipationAccepted      Lateral   Stage4 Opposed        29     8.224138     7.000000    62.07%    37.93%     0.00%
ParticipationPeak        IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        IBSYM     Stage0 Opposed         3    39.416667    27.500000    66.67%    33.33%     0.00%
ParticipationPeak        IBSYM     Stage1 Aligned         9    -8.166667    -4.250000    44.44%    55.56%     0.00%
ParticipationPeak        IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        IBSYM     Stage2 Aligned         3   -47.666667    -2.000000    33.33%    66.67%     0.00%
ParticipationPeak        IBSYM     Stage2 Opposed        21     8.059524    15.750000    66.67%    33.33%     0.00%
ParticipationPeak        IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        IBSYM     Stage3 Opposed         4   -19.562500   -27.375000    25.00%    75.00%     0.00%
ParticipationPeak        IBSYM     Stage4 Aligned        14    35.732143    33.375000    78.57%    21.43%     0.00%
ParticipationPeak        IBSYM     Stage4 Opposed         6     8.958333    -4.000000    50.00%    50.00%     0.00%
ParticipationPeak        Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        Lateral   Stage0 Opposed         8   -20.062500   -21.875000    25.00%    75.00%     0.00%
ParticipationPeak        Lateral   Stage1 Aligned        49    20.750000    18.000000    61.22%    38.78%     0.00%
ParticipationPeak        Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        Lateral   Stage2 Aligned        13   -43.730769   -28.250000    23.08%    76.92%     0.00%
ParticipationPeak        Lateral   Stage2 Opposed        36     2.347222     0.500000    52.78%    47.22%     0.00%
ParticipationPeak        Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        Lateral   Stage3 Opposed        12     1.187500     8.375000    58.33%    41.67%     0.00%
ParticipationPeak        Lateral   Stage4 Aligned        29    12.103448     9.000000    62.07%    37.93%     0.00%
ParticipationPeak        Lateral   Stage4 Opposed        13   -11.250000    -6.250000    30.77%    69.23%     0.00%
ParticipationClimactic   IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   IBSYM     Stage0 Opposed        11   -72.159091   -91.000000    18.18%    81.82%     0.00%
ParticipationClimactic   IBSYM     Stage1 Aligned        14    -2.392857    -3.500000    50.00%    50.00%     0.00%
ParticipationClimactic   IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   IBSYM     Stage2 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   IBSYM     Stage2 Opposed         8    36.750000    41.625000    62.50%    37.50%     0.00%
ParticipationClimactic   IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   IBSYM     Stage3 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   IBSYM     Stage4 Aligned         2    50.625000    50.625000   100.00%     0.00%     0.00%
ParticipationClimactic   IBSYM     Stage4 Opposed         2    -5.000000    -5.000000    50.00%    50.00%     0.00%
ParticipationClimactic   Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   Lateral   Stage0 Opposed         9   -41.055556   -84.000000    44.44%    55.56%     0.00%
ParticipationClimactic   Lateral   Stage1 Aligned        17     8.882353     1.750000    52.94%    47.06%     0.00%
ParticipationClimactic   Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   Lateral   Stage2 Aligned         2   -45.125000   -45.125000    50.00%    50.00%     0.00%
ParticipationClimactic   Lateral   Stage2 Opposed        14    35.357143    23.250000    71.43%    28.57%     0.00%
ParticipationClimactic   Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   Lateral   Stage3 Opposed         9    -8.972222    -3.250000    44.44%    55.56%     0.00%
ParticipationClimactic   Lateral   Stage4 Aligned         5   -43.150000    -4.500000    40.00%    60.00%     0.00%
ParticipationClimactic   Lateral   Stage4 Opposed         6    22.625000    21.875000    50.00%    50.00%     0.00%
PeakContained            IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            IBSYM     Stage0 Opposed         1    97.000000    97.000000   100.00%     0.00%     0.00%
PeakContained            IBSYM     Stage1 Aligned         1    31.750000    31.750000   100.00%     0.00%     0.00%
PeakContained            IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            IBSYM     Stage2 Aligned         2   -70.500000   -70.500000    50.00%    50.00%     0.00%
PeakContained            IBSYM     Stage2 Opposed         9    15.833333    17.750000    77.78%    22.22%     0.00%
PeakContained            IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            IBSYM     Stage3 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            IBSYM     Stage4 Aligned         6    53.166667    33.125000   100.00%     0.00%     0.00%
PeakContained            IBSYM     Stage4 Opposed         3    69.916667    76.250000   100.00%     0.00%     0.00%
PeakContained            Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            Lateral   Stage0 Opposed         1   -18.000000   -18.000000     0.00%   100.00%     0.00%
PeakContained            Lateral   Stage1 Aligned         9    40.277778    33.500000    88.89%    11.11%     0.00%
PeakContained            Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            Lateral   Stage2 Aligned         5   -53.250000   -28.250000    20.00%    80.00%     0.00%
PeakContained            Lateral   Stage2 Opposed        14     3.178571     8.625000    57.14%    42.86%     0.00%
PeakContained            Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            Lateral   Stage3 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            Lateral   Stage4 Aligned        17    20.897059    17.500000    70.59%    29.41%     0.00%
PeakContained            Lateral   Stage4 Opposed         3    45.083333     8.250000    66.67%    33.33%     0.00%
PeakAccepted             IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             IBSYM     Stage0 Opposed         2    10.625000    10.625000    50.00%    50.00%     0.00%
PeakAccepted             IBSYM     Stage1 Aligned         8   -13.156250   -11.750000    37.50%    62.50%     0.00%
PeakAccepted             IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             IBSYM     Stage2 Aligned         1    -2.000000    -2.000000     0.00%   100.00%     0.00%
PeakAccepted             IBSYM     Stage2 Opposed        12     2.229167     6.000000    58.33%    41.67%     0.00%
PeakAccepted             IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             IBSYM     Stage3 Opposed         4   -19.562500   -27.375000    25.00%    75.00%     0.00%
PeakAccepted             IBSYM     Stage4 Aligned         8    22.656250    52.625000    62.50%    37.50%     0.00%
PeakAccepted             IBSYM     Stage4 Opposed         3   -52.000000   -62.250000     0.00%   100.00%     0.00%
PeakAccepted             Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             Lateral   Stage0 Opposed         7   -20.357143   -25.750000    28.57%    71.43%     0.00%
PeakAccepted             Lateral   Stage1 Aligned        39    14.192308     6.000000    53.85%    46.15%     0.00%
PeakAccepted             Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             Lateral   Stage2 Aligned         6   -33.333333    -6.125000    33.33%    66.67%     0.00%
PeakAccepted             Lateral   Stage2 Opposed        21     2.380952     0.250000    52.38%    47.62%     0.00%
PeakAccepted             Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             Lateral   Stage3 Opposed        12     1.187500     8.375000    58.33%    41.67%     0.00%
PeakAccepted             Lateral   Stage4 Aligned        12    -0.354167    -4.875000    50.00%    50.00%     0.00%
PeakAccepted             Lateral   Stage4 Opposed         9   -24.194444   -16.250000    22.22%    77.78%     0.00%
ClimacticContained       IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage0 Opposed         1  -115.750000  -115.750000     0.00%   100.00%     0.00%
ClimacticContained       IBSYM     Stage1 Aligned         3    81.666667    29.750000   100.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage2 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage2 Opposed         4    32.687500    43.125000    75.00%    25.00%     0.00%
ClimacticContained       IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage3 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage4 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage4 Opposed         1   -66.500000   -66.500000     0.00%   100.00%     0.00%
ClimacticContained       Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       Lateral   Stage0 Opposed         1  -115.750000  -115.750000     0.00%   100.00%     0.00%
ClimacticContained       Lateral   Stage1 Aligned         5    44.400000    29.750000   100.00%     0.00%     0.00%
ClimacticContained       Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       Lateral   Stage2 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       Lateral   Stage2 Opposed         4    58.687500    63.625000   100.00%     0.00%     0.00%
ClimacticContained       Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       Lateral   Stage3 Opposed         1   -51.000000   -51.000000     0.00%   100.00%     0.00%
ClimacticContained       Lateral   Stage4 Aligned         3    14.500000    23.750000    66.67%    33.33%     0.00%
ClimacticContained       Lateral   Stage4 Opposed         4     2.750000   -13.625000    25.00%    75.00%     0.00%
ClimacticAccepted        IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        IBSYM     Stage0 Opposed        10   -67.800000   -87.500000    20.00%    80.00%     0.00%
ClimacticAccepted        IBSYM     Stage1 Aligned        11   -25.318182   -34.750000    36.36%    63.64%     0.00%
ClimacticAccepted        IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        IBSYM     Stage2 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        IBSYM     Stage2 Opposed         4    40.812500    30.000000    50.00%    50.00%     0.00%
ClimacticAccepted        IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        IBSYM     Stage3 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        IBSYM     Stage4 Aligned         2    50.625000    50.625000   100.00%     0.00%     0.00%
ClimacticAccepted        IBSYM     Stage4 Opposed         1    56.500000    56.500000   100.00%     0.00%     0.00%
ClimacticAccepted        Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        Lateral   Stage0 Opposed         6   -55.208333   -93.500000    33.33%    66.67%     0.00%
ClimacticAccepted        Lateral   Stage1 Aligned        11    -1.772727   -19.250000    36.36%    63.64%     0.00%
ClimacticAccepted        Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        Lateral   Stage2 Aligned         1  -105.750000  -105.750000     0.00%   100.00%     0.00%
ClimacticAccepted        Lateral   Stage2 Opposed         9    27.861111     0.250000    55.56%    44.44%     0.00%
ClimacticAccepted        Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted        Lateral   Stage3 Opposed         7     0.321429     3.250000    57.14%    42.86%     0.00%
ClimacticAccepted        Lateral   Stage4 Aligned         2  -129.625000  -129.625000     0.00%   100.00%     0.00%
ClimacticAccepted        Lateral   Stage4 Opposed         2    62.375000    62.375000   100.00%     0.00%     0.00%

Mature Aligned versus Mature Opposed by BreakoutType
====================================================
Event                    Type     LeftCount  LeftCont5 RightCount  RightCont5 DeltaCont5  DeltaMean5
AllBars                  IBSYM           82    53.66%         63     46.03%     7.63%    1.168699
AllBars                  Lateral        188    49.47%        125     47.20%     2.27%   -4.476723
DissipationAny           IBSYM           50    56.00%         43     48.84%     7.16%   -3.267209
