Candidate,ValidationMode,Dataset,DatasetCode,DatasetType,VolumeCoverageGroup,ExplicitVolumeAvailable,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,ValidationPass,ValidationStatus,ContributionRankBestToWorst
PriorSlope_DominantPressureValue_Q3,Reference,tables/apva_forward_signed_return_dataset_es_nq_092020_generated.csv,092020,Generated Regime,LegacyOrNoExplicitVolume,False,61,0.564098309494314,0.3097345132743363,2.336566152429183,34.409996879153155,0.5573770491803278,0.17189067044362877,0.12443318351271716,False,fail,3
PriorSlope_DominantPressureValue_Q3,Reference,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,062021,Generated Regime,LegacyOrNoExplicitVolume,False,66,0.27936488005572496,0.09402524955960065,1.6081646467941202,18.43808208367785,0.5454545454545454,0.0921050444203366,0.06667565997167542,False,fail,4
PriorSlope_DominantPressureValue_Q3,Reference,tables/apva_forward_signed_return_dataset_es_nq_092024_generated.csv,092024,Generated Regime,LegacyOrNoExplicitVolume,False,75,0.20784228055816967,0.1772151898734177,1.5226522181049,15.588171041862726,0.5866666666666667,0.07786868394048183,0.05636983213604594,False,fail,5
PriorSlope_DominantPressureValue_Q3,Reference,tables/apva_forward_signed_return_dataset_es_nq_062023_generated.csv,062023,Generated Regime,VolumeEnabled,True,36,0.42771556471114275,-0.0126126126126126,1.7809219013628972,15.39776032960114,0.4722222222222222,0.07691751195679235,0.05568127028627758,False,fail,6
PriorSlope_DominantPressureValue_Q3,Reference,tables/apva_forward_signed_return_dataset_generated.csv,LegacyGenerated,Legacy Generated,LegacyOrNoExplicitVolume,False,42,0.17865086065786623,0.28231029243515265,1.3846153346003374,7.503336147630382,0.6190476190476191,0.03748194123671895,0.027133510273037648,False,fail,7
PriorSlope_DominantPressureValue_Q3,Reference,tables/apva_forward_signed_return_dataset_es_nq_122022_generated.csv,122022,Generated Regime,LegacyOrNoExplicitVolume,False,68,0.09226371160474878,-0.0976595176648571,1.1288703555506387,6.273932389122917,0.45588235294117646,0.03134061442875889,0.022687749233568807,False,fail,8
PriorSlope_DominantPressureValue_Q3,Reference,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,032024,Generated Regime,VolumeEnabled,True,83,0.05580280148715114,0.0585774058577405,1.085049127474398,4.631632523433544,0.5060240963855421,0.02313671874186759,0.01674887625755749,False,fail,9
PriorSlope_DominantPressureValue_Q3,Reference,tables/apva_forward_signed_return_dataset_es_nq_122017_generated.csv,122017,Generated Regime,VolumeEnabled,True,180,-0.036820500278090015,-0.03553299492385785,0.9412174308146745,-6.627690050056202,0.45555555555555555,-0.033107764880005566,0.023967005145638053,False,fail,10
PriorSlope_DominantPressureValue_Q3,Reference,tables/apva_forward_signed_return_dataset_es_nq_062019_generated.csv,062019,Generated Regime,VolumeEnabled,True,81,-0.12141556989132347,-0.0408163265306122,0.7935491137933453,-9.834661161197202,0.48148148148148145,-0.049127772563335004,0.035564031038841544,False,fail,11
PriorSlope_DominantPressureValue_Q3,Reference,tables/apva_forward_signed_return_dataset_es_nq_122023_generated.csv,122023,Generated Regime,VolumeEnabled,True,81,-0.2680485056542336,-0.3083700440528634,0.6060230311099447,-21.71192895799292,0.41975308641975306,-0.10845912129317488,0.07851452151923301,False,fail,12
PriorSlope_DominantPressureValue_Q3,Spacing_10,tables/apva_forward_signed_return_dataset_v1.csv,CanonicalOriginal,Canonical/Original,LegacyOrNoExplicitVolume,False,257,0.27542394601508324,0.0816326530612244,1.5466293159178857,70.78395412587639,0.5291828793774319,0.41370614848742293,0.28941832203389767,False,fail,1
PriorSlope_DominantPressureValue_Q3,Spacing_10,tables/apva_forward_signed_return_dataset_es_nq_092022_generated.csv,092022,Generated Regime,LegacyOrNoExplicitVolume,False,61,0.7832902248091478,0.4768856447688564,2.44937739900325,47.780703713358015,0.6065573770491803,0.2792606198591242,0.19536364229846825,False,fail,2
PriorSlope_DominantPressureValue_Q3,Spacing_10,tables/apva_forward_signed_return_dataset_es_nq_092020_generated.csv,092020,Generated Regime,LegacyOrNoExplicitVolume,False,56,0.4405783046474218,0.2821399839098955,1.9855280009203298,24.67238506025562,0.5535714285714286,0.1442010060518163,0.10087936415667112,False,fail,3
PriorSlope_DominantPressureValue_Q3,Spacing_10,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,062021,Generated Regime,LegacyOrNoExplicitVolume,False,60,0.3542602472082953,0.1479856584093872,1.7945688047892505,21.255614832497717,0.5666666666666667,0.12423124216043356,0.08690902415087637,False,fail,4
