Candidate,ValidationMode,AttributionScope,RegimeCode,RegimeYear,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,ContributionRankBestToWorst,ContributionStatus,PassFailApplicability
CCRRR,Spacing_20,DatasetRegime,062021,2021,6,-0.40109249368429295,0.0060287081339713,0.43311853705037123,-2.4065549621057576,0.5,-0.11479996789240693,0.038767489509025,10,Negative,Descriptive contribution only
CCRRR,Spacing_20,DatasetRegime,122017,2017,18,-0.21674481030377551,-0.32430506058446185,0.6779244969437396,-3.901406585467959,0.3888888888888889,-0.18610892242205282,0.06284823793936001,11,Negative,Descriptive contribution only
CCRRR,Spacing_20,DatasetRegime,032024,2024,4,-0.993801652892562,-2.0,0.33746556473829203,-3.975206611570248,0.25,-0.18962940741425438,0.0640370916255367,12,Negative,Descriptive contribution only
CCRRR,Spacing_20,DatasetRegime,122022,2022,4,-1.052325581395349,-2.0,0.29844961240310075,-4.209302325581396,0.25,-0.2007964827046166,0.06780816823917611,13,Negative,Descriptive contribution only
CCRRR,Spacing_20,YearAggregate,CanonicalOriginal,CanonicalOriginal,91,0.21982240190407526,0.1201716738197424,1.400861306826191,20.003838573270848,0.5164835164835165,0.9542437476379009,0.4716690413103295,1,Positive,Descriptive contribution only
CCRRR,Spacing_20,YearAggregate,LegacyGenerated,LegacyGenerated,2,2.3745810777766607,2.3745810777766607,inf,4.749162155553321,1.0,0.2265494333427969,0.11198014584712093,2,Positive,Descriptive contribution only
CCRRR,Spacing_20,YearAggregate,2023,2023,10,0.42321621535153914,0.058684576192681775,1.582580173761364,4.232162153515391,0.5,0.2018869658035575,0.09978984075015292,3,Positive,Descriptive contribution only
CCRRR,Spacing_20,YearAggregate,2020,2020,3,0.8214864204957326,1.2119402985074628,2.5576236024984027,2.464459261487198,0.6666666666666666,0.11756217852731599,0.058109304019641594,4,Positive,Descriptive contribution only
CCRRR,Spacing_20,YearAggregate,2022,2022,8,0.029658471626399563,0.49247508044894434,1.0395446288351995,0.2372677730111965,0.625,0.011318392121721777,0.0055945194028692415,5,Positive,Descriptive contribution only
CCRRR,Spacing_20,YearAggregate,2024,2024,9,-0.01543589869198709,-0.4684014869888475,0.9807492245202067,-0.1389230882278838,0.4444444444444444,-0.006627052495871572,0.0032756572994881,6,Negative,Descriptive contribution only
CCRRR,Spacing_20,YearAggregate,2016,2016,6,-0.3407995072907107,-0.37280585106382974,0.21166477110367082,-2.044797043744264,0.16666666666666666,-0.09754301840791045,0.048214119393353606,7,Negative,Descriptive contribution only
CCRRR,Spacing_20,YearAggregate,2019,2019,7,-0.31888286518541076,-0.2871794871794871,0.48565777656866266,-2.2321800562978753,0.42857142857142855,-0.10648175621505125,0.05263240969125175,8,Negative,Descriptive contribution only
CCRRR,Spacing_20,YearAggregate,2021,2021,6,-0.40109249368429295,0.0060287081339713,0.43311853705037123,-2.4065549621057576,0.5,-0.11479996789240693,0.05674398279507002,9,Negative,Descriptive contribution only
CCRRR,Spacing_20,YearAggregate,2017,2017,18,-0.21674481030377551,-0.32430506058446185,0.6779244969437396,-3.901406585467959,0.3888888888888889,-0.18610892242205282,0.09199097949072231,10,Negative,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,CanonicalOriginal,CanonicalOriginal,397,0.2155202651878734,0.1132686084142395,1.4115451895569462,85.56154527958574,0.5239294710327456,0.4324601739225901,0.30681416183499055,1,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,092022,2022,70,0.7222170014657082,0.4795775741574778,2.297405869906267,50.555190102599575,0.6142857142857143,0.25552491172311925,0.18128527514379175,2,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,092020,2020,61,0.564098309494314,0.3097345132743363,2.336566152429183,34.409996879153155,0.5573770491803278,0.1739210434595181,0.12339041232511423,3,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,062021,2021,66,0.27936488005572496,0.09402524955960065,1.6081646467941202,18.43808208367785,0.5454545454545454,0.09319298942826341,0.06611690662976026,4,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,092024,2024,75,0.20784228055816967,0.1772151898734177,1.5226522181049,15.588171041862726,0.5866666666666667,0.07878846902391612,0.05589744337975028,5,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,062023,2023,36,0.42771556471114275,-0.0126126126126126,1.7809219013628972,15.39776032960114,0.4722222222222222,0.07782606179444995,0.0552146517950957,6,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,LegacyGenerated,LegacyGenerated,42,0.17865086065786623,0.28231029243515265,1.3846153346003374,7.503336147630382,0.6190476190476191,0.037924678017451564,0.026906126853820055,7,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,122022,2022,68,0.09226371160474878,-0.0976595176648571,1.1288703555506387,6.273932389122917,0.45588235294117646,0.03171080984235123,0.022497622046073775,8,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,032024,2024,83,0.05580280148715114,0.0585774058577405,1.085049127474398,4.631632523433544,0.5060240963855421,0.023410009719722694,0.016608517833115802,9,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,062016,2016,84,-0.027821256624953425,-0.2024597116200169,0.9560451749139554,-2.3369855564960877,0.4523809523809524,-0.011812002423687086,0.008380169647402349,10,Negative,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,122017,2017,180,-0.036820500278090015,-0.03553299492385785,0.9412174308146745,-6.627690050056202,0.45555555555555555,-0.03349883387901106,0.023766157576577438,11,Negative,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,062019,2019,81,-0.12141556989132347,-0.0408163265306122,0.7935491137933453,-9.834661161197202,0.48148148148148145,-0.04970806993192346,0.03526599842539056,12,Negative,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,122023,2023,81,-0.2680485056542336,-0.3083700440528634,0.6060230311099447,-21.71192895799292,0.41975308641975306,-0.10974024069676083,0.0778565565091172,13,Negative,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,YearAggregate,CanonicalOriginal,CanonicalOriginal,397,0.2155202651878734,0.1132686084142395,1.4115451895569462,85.56154527958574,0.5239294710327456,0.4324601739225901,0.34490138116425434,1,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,YearAggregate,2022,2022,138,0.41180523544726433,0.20786080875628546,1.6483610482840105,56.82912249172248,0.5362318840579711,0.28723572156547045,0.22908004727708176,2,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,YearAggregate,2020,2020,61,0.564098309494314,0.3097345132743363,2.336566152429183,34.409996879153155,0.5573770491803278,0.1739210434595181,0.1387078203262561,3,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,YearAggregate,2024,2024,158,0.12797344028668528,0.14376563803169304,1.2399024181236902,20.219803565296274,0.5443037974683544,0.10219847874363883,0.08150668800747451,4,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,YearAggregate,2021,2021,66,0.27936488005572496,0.09402524955960065,1.6081646467941202,18.43808208367785,0.5454545454545454,0.09319298942826341,0.07432451057189662,5,Positive,Descriptive contribution only
PriorSlope_DominantPressureValue_Q3,Reference,YearAggregate,LegacyGenerated,LegacyGenerated,42,0.17865086065786623,0.28231029243515265,1.3846153346003374,7.503336147630382,0.6190476190476191,0.037924678017451564,0.030246192868548478,6,Positive,Descriptive contribution only
