Candidate,ValidationMode,DatasetCode,RegimeYear,TimeBlock,RegimeWeek,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,NegativeBlock,ContributionRankBestToWorst
CCRRR,Spacing_20,062021,2021,B05_2021-W20,2021-W20,1,-0.3563636363636364,-0.3563636363636364,0.0,-0.3563636363636364,0.0,-0.01699962587879968,0.0031452827515792694,True,35
CCRRR,Spacing_20,122017,2017,B05_2017-W46,2017-W46,1,-0.4,-0.4,0.0,-0.4,0.0,-0.019081212721101682,0.0035304194150379557,True,36
CCRRR,Spacing_20,122023,2023,B05_2023-W46,2023-W46,1,-0.411764705882353,-0.411764705882353,0.0,-0.411764705882353,0.0,-0.019642424859957614,0.0036342552801861307,True,37
CCRRR,Spacing_20,062019,2019,B07_2019-W22,2019-W22,1,-0.5706521739130435,-0.5706521739130435,0.0,-0.5706521739130435,0.0,-0.027221838800484736,0.005036603785040561,True,38
CCRRR,Spacing_20,122017,2017,B06_2017-W47,2017-W47,4,-0.15009102704803717,-0.9043487207627409,0.8423702282973448,-0.6003641081921487,0.25,-0.028639188146322235,0.005298842759133773,True,39
CCRRR,Spacing_20,092024,2024,B06_2024-W34,2024-W34,1,-0.748091603053435,-0.748091603053435,0.0,-0.748091603053435,0.0,-0.03568623753183139,0.006602692799116786,True,40
CCRRR,Spacing_20,062016,2016,B03_2016-W18,2016-W18,1,-0.9210526315789472,-0.9210526315789472,0.0,-0.9210526315789472,0.0,-0.043937002976220975,0.008129255231995291,True,41
CCRRR,Spacing_20,062016,2016,B08_2016-W23,2016-W23,1,-0.9271523178807948,-0.9271523178807948,0.0,-0.9271523178807948,0.0,-0.04422797650586483,0.0081830913593595,True,42
CCRRR,Spacing_20,062019,2019,B05_2019-W20,2019-W20,1,-1.4820415879017013,-1.4820415879017013,0.0,-1.4820415879017013,0.0,-0.0706978770006792,0.013080570989554617,True,43
CCRRR,Spacing_20,092020,2020,B12_2020-W32,2020-W32,1,-1.5821917808219177,-1.5821917808219177,0.0,-1.5821917808219177,0.0,-0.07547534483860426,0.01396450145331794,True,44
CCRRR,Spacing_20,032024,2024,B04_2024-W06,2024-W06,1,-2.0,-2.0,0.0,-2.0,0.0,-0.0954060636055084,0.017652097075189777,True,45
CCRRR,Spacing_20,032024,2024,B08_2024-W10,2024-W10,1,-2.0,-2.0,0.0,-2.0,0.0,-0.0954060636055084,0.017652097075189777,True,45
CCRRR,Spacing_20,062019,2019,B03_2019-W18,2019-W18,1,-2.0,-2.0,0.0,-2.0,0.0,-0.0954060636055084,0.017652097075189777,True,45
