Candidate,ValidationMode,AttributionScope,RegimeCode,RegimeYear,Instrument,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,NegativeCell,ContributionRankBestToWorst
CCRRR,Spacing_10,DatasetRegime,032024,2024,ES,3,-0.6584022038567493,-2.0,0.506198347107438,-1.9752066115702478,0.3333333333333333,-0.08092942052088953,0.028755555225639516,True,19
CCRRR,Spacing_10,DatasetRegime,032024,2024,NQ,1,-2.0,-2.0,0.0,-2.0,0.0,-0.08194527098767895,0.029116503617593152,True,20
CCRRR,Spacing_10,DatasetRegime,062021,2021,NQ,4,-0.6046530945934251,-0.6928588207657975,0.37807110270390565,-2.4186123783737004,0.5,-0.09909692337999379,0.03521076803223671,True,21
CCRRR,Spacing_10,DatasetRegime,122017,2017,NQ,13,-0.2649742822489356,-0.3442622950819672,0.6780722569708637,-3.4446656692361626,0.38461538461538464,-0.1411370308637559,0.05014831020985683,True,22
CCRRR,Spacing_10,DatasetRegime,122022,2022,NQ,2,-2.0,-2.0,0.0,-4.0,0.0,-0.1638905419753579,0.058233007235186304,True,23
CCRRR,Spacing_10,YearAggregate,CanonicalOriginal,CanonicalOriginal,ES,19,0.7909947642029491,0.1891891891891891,3.122443972284415,15.028900519856034,0.631578947368421,0.6157736628732359,0.269757752395763,False,1
CCRRR,Spacing_10,YearAggregate,CanonicalOriginal,CanonicalOriginal,NQ,89,0.09079880849653259,0.0,1.1621087215623356,8.0810939561914,0.4943820224719101,0.33110371705849945,0.14504971535616093,False,2
CCRRR,Spacing_10,YearAggregate,2023,2023,NQ,6,0.87154878550938,0.7972660967914088,2.833070890915873,5.22929271305628,0.6666666666666666,0.21425790422264585,0.09386197260603843,False,3
CCRRR,Spacing_10,YearAggregate,LegacyGenerated,LegacyGenerated,NQ,2,2.3745810777766607,2.3745810777766607,inf,4.749162155553321,1.0,0.1945856899006232,0.0852439808988338,False,4
CCRRR,Spacing_10,YearAggregate,2024,2024,NQ,3,0.9163873851844405,0.4726065301604869,2.3745810777766607,2.7491621555533214,0.6666666666666666,0.11264041891294425,0.049345446333465985,False,5
CCRRR,Spacing_10,YearAggregate,2020,2020,ES,3,0.8214864204957326,1.2119402985074628,2.5576236024984027,2.464459261487198,0.6666666666666666,0.10097539101033177,0.044235237991719495,False,6
CCRRR,Spacing_10,YearAggregate,2022,2022,ES,4,0.4363572143035759,0.9773655913978495,1.8727144286071518,1.7454288572143035,0.75,0.07151482034707045,0.03132916908104905,False,7
CCRRR,Spacing_10,YearAggregate,2021,2021,ES,2,0.0060287081339713,0.0060287081339713,1.0338345864661656,0.0120574162679426,0.5,0.0004940241217439024,0.00021642178733188275,False,8
CCRRR,Spacing_10,YearAggregate,2017,2017,ES,6,-0.019898586440239147,-0.0842127479949346,0.9155174120369627,-0.11939151864143488,0.5,-0.004891785174351452,0.0021429902793806523,True,9
CCRRR,Spacing_10,YearAggregate,2019,2019,ES,3,-0.29434202161474887,0.5384615384615384,0.5584869675778767,-0.8830260648442466,0.6666666666666666,-0.03617990508642278,0.01584967085546595,True,10
CCRRR,Spacing_10,YearAggregate,2023,2023,ES,4,-0.24928263988522226,-1.2058823529411764,0.7739837398373984,-0.997130559540889,0.25,-0.040855066955837044,0.01789776292893157,True,11
CCRRR,Spacing_10,YearAggregate,2016,2016,NQ,2,-0.5082570100042272,-0.5082570100042272,0.0,-1.0165140200084544,0.0,-0.041649258416183846,0.01824568184172724,True,12
