Candidate,ValidationMode,Breakdown,VolumeCoverageGroup,ExplicitVolumeAvailable,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,Instrument,DatasetCode,RegimeYear
PriorSlope_DominantPressureValue_Q3,Spacing_10,ByInstrument,VolumeEnabled,True,278,0.031158814864820247,0.0,1.0482438366333835,8.662150532420029,0.4892086330935252,0.050075519094025626,0.0403199041005417,NQ,,
PriorSlope_DominantPressureValue_Q3,Spacing_20,AllInstruments,LegacyOrNoExplicitVolume,False,538,0.30725270812812444,0.16303090727816544,1.6174743012270565,165.30195697293095,0.5464684014869888,1.0824583288304004,0.9292152547668259,All,,
PriorSlope_DominantPressureValue_Q3,Spacing_20,ByDataset,LegacyOrNoExplicitVolume,False,55,0.29610208707455016,0.0534351145038167,1.6424018820285473,16.285614789100258,0.5454545454545454,0.10664422667102409,0.072868673532735,All,062021,2021
PriorSlope_DominantPressureValue_Q3,Spacing_20,ByDataset,LegacyOrNoExplicitVolume,False,50,0.5237359725209948,0.316951192961336,2.3840463247227777,26.18679862604974,0.58,0.1714808390490734,0.11717072426557838,All,092020,2020
PriorSlope_DominantPressureValue_Q3,Spacing_20,ByDataset,LegacyOrNoExplicitVolume,False,57,0.7288547941253873,0.3333333333333333,2.2602154901187594,41.54472326514708,0.5789473684210527,0.27205020763714677,0.185888522835623,All,092022,2022
PriorSlope_DominantPressureValue_Q3,Spacing_20,ByDataset,LegacyOrNoExplicitVolume,False,63,0.16821404620286418,0.1647058823529411,1.4242426179666872,10.597484910780443,0.5873015873015873,0.06939624924227167,0.04741759388467084,All,092024,2024
PriorSlope_DominantPressureValue_Q3,Spacing_20,ByDataset,LegacyOrNoExplicitVolume,False,55,0.16242263371077065,-0.1482602118003025,1.2356341880208483,8.933244854092386,0.45454545454545453,0.058498190056982265,0.03997108560473366,All,122022,2022
PriorSlope_DominantPressureValue_Q3,Spacing_20,ByDataset,LegacyOrNoExplicitVolume,False,223,0.2813658202526897,0.1132686084142395,1.574406707077572,62.7445779163498,0.5381165919282511,0.4108746937921784,0.2807455673823135,All,CanonicalOriginal,CanonicalOriginal
PriorSlope_DominantPressureValue_Q3,Spacing_20,ByDataset,LegacyOrNoExplicitVolume,False,35,-0.028299639673964202,0.2322606436138317,0.9460038657851455,-0.9904873885887471,0.5714285714285714,-0.006486077618276078,0.004431856156002826,All,LegacyGenerated,LegacyGenerated
PriorSlope_DominantPressureValue_Q3,Spacing_20,ByInstrument,LegacyOrNoExplicitVolume,False,191,0.6361050622008804,0.2121212121212121,2.2283693573493184,121.49606688036815,0.5602094240837696,0.7956011648206079,0.609452381606038,ES,,
PriorSlope_DominantPressureValue_Q3,Spacing_20,ByInstrument,LegacyOrNoExplicitVolume,False,347,0.12624175819182362,0.1204424416222859,1.2595163303072523,43.8058900925628,0.5389048991354467,0.28685716400979255,0.21974047992494028,NQ,,
PriorSlope_DominantPressureValue_Q3,Spacing_20,AllInstruments,VolumeEnabled,True,444,-0.028360792825565858,-0.05631572995589725,0.9556875237133304,-12.592192014551241,0.46621621621621623,-0.08245832883040047,0.07078474523317409,All,,
PriorSlope_DominantPressureValue_Q3,Spacing_20,ByDataset,VolumeEnabled,True,67,0.05563913217345487,0.0585774058577405,1.0803338995217941,3.7278218556214764,0.5074626865671642,0.024411155741333738,0.01667983906676226,All,032024,2024
PriorSlope_DominantPressureValue_Q3,Spacing_20,ByDataset,VolumeEnabled,True,62,0.048085850771862684,-0.2736181040550051,1.074158114976749,2.9813227478554865,0.45161290322580644,0.01952280359195125,0.013339688849486789,All,062016,2016
PriorSlope_DominantPressureValue_Q3,Spacing_20,ByDataset,VolumeEnabled,True,65,-0.08525665582563899,0.0472972972972972,0.8502988288992053,-5.541682628666535,0.5076923076923077,-0.03628898669431449,0.024795813208144796,All,062019,2019
