APVA Age Transition Matrix Study v0.1 - Aggregate
==========================================================

Instruments: 6E, CL, NQ

Aggregate Transition Matrix Lag 1
========================================
State                        Age    NextState                        6E_N    6E_Prob    6E_Lift     CL_N    CL_Prob    CL_Lift     NQ_N    NQ_Prob    NQ_Lift  ValidN   MeanProb   MeanLift
ExhaustionPersistence        2      ExhaustionPersistence             234     76.97%     14.406       21     67.74%     10.327       14     73.68%     13.284       3     72.80%     12.672
ExhaustionPersistence        2      NeutralProcessing                   3      0.99%      0.020        1      3.23%      0.068        0      0.00%        N/A       2      2.11%      0.044
ExhaustionPersistence        2      RecoveryResolution                 67     22.04%      4.582        9     29.03%      4.868        5     26.32%      7.465       3     25.80%      5.638
ExhaustionPersistence        3      ExhaustionPersistence             143     61.11%     11.437       16     76.19%     11.615       11     78.57%     14.165       3     71.96%     12.406
ExhaustionPersistence        3      NeutralProcessing                  71     30.34%      0.630        5     23.81%      0.500        3     21.43%      0.424       3     25.19%      0.518
ExhaustionPersistence        4      CompressionProcessing              14      9.79%      0.532        1      6.25%      0.479        1      9.09%      0.855       3      8.38%      0.622
ExhaustionPersistence        4      DecayToNeutral                     32     22.38%      5.310        1      6.25%      1.628        0      0.00%        N/A       2     14.31%      3.469
ExhaustionPersistence        4      DestructiveRotation                 5      3.50%      1.300        2     12.50%      3.993        2     18.18%      4.440       3     11.39%      3.244
ExhaustionPersistence        4      ExhaustionPersistence              58     40.56%      7.591        8     50.00%      7.622        6     54.55%      9.833       3     48.37%      8.349
ExhaustionPersistence        4      NeutralProcessing                  23     16.08%      0.334        3     18.75%      0.394        1      9.09%      0.180       3     14.64%      0.302
ExhaustionPersistence        4      RecoveryResolution                 11      7.69%      1.599        1      6.25%      1.048        1      9.09%      2.579       3      7.68%      1.742
ExhaustionPersistence        5      CompressionProcessing               7     12.07%      0.656        1     12.50%      0.958        1     16.67%      1.568       3     13.75%      1.061
ExhaustionPersistence        5      DecayToNeutral                     14     24.14%      5.727        2     25.00%      6.512        0      0.00%        N/A       2     24.57%      6.120
ExhaustionPersistence        5      DestructiveRotation                 6     10.34%      3.848        1     12.50%      3.993        0      0.00%        N/A       2     11.42%      3.920
ExhaustionPersistence        5      ExhaustionPersistence              18     31.03%      5.808        1     12.50%      1.906        4     66.67%     12.019       3     36.73%      6.577
ExhaustionPersistence        5      NeutralProcessing                  10     17.24%      0.358        3     37.50%      0.787        0      0.00%        N/A       2     27.37%      0.573
ExhaustionPersistence        5      RecoveryResolution                  3      5.17%      1.075        0      0.00%        N/A        1     16.67%      4.728       2     10.92%      2.902
ExhaustionPersistence        6-10   DecayToNeutral                      9     31.03%      7.364        0      0.00%        N/A        1     16.67%      3.738       2     23.85%      5.551
ExhaustionPersistence        6-10   ExhaustionPersistence              11     37.93%      7.099        2     66.67%     10.163        2     33.33%      6.009       3     45.98%      7.757
ExhaustionPersistence        6-10   NeutralProcessing                   4     13.79%      0.286        1     33.33%      0.700        1     16.67%      0.329       3     21.26%      0.438
MixedStructure               1      CompressionProcessing              91      2.79%      0.151        5      1.79%      0.137        4      2.19%      0.206       3      2.26%      0.165
MixedStructure               1      ConstructiveEmergence              20      0.61%      2.603        3      1.08%      2.404        1      0.55%      0.753       3      0.74%      1.920
MixedStructure               1      DecayToNeutral                    662     20.28%      4.812       44     15.77%      4.108       35     19.13%      4.290       3     18.39%      4.403
MixedStructure               1      DestructiveRotation                67      2.05%      0.763        3      1.08%      0.343        2      1.09%      0.267       3      1.41%      0.458
MixedStructure               1      ExhaustionPersistence             399     12.22%      2.288       39     13.98%      2.131       24     13.11%      2.364       3     13.11%      2.261
MixedStructure               1      MixedStructure                    355     10.88%      1.045       28     10.04%      0.860       27     14.75%      1.324       3     11.89%      1.076
MixedStructure               1      NeutralProcessing                1219     37.35%      0.775      115     41.22%      0.865       65     35.52%      0.702       3     38.03%      0.781
MixedStructure               1      ReassertionProcessing             144      4.41%      0.774       17      6.09%      0.790       13      7.10%      0.766       3      5.87%      0.776
MixedStructure               1      RecoveryResolution                307      9.41%      1.955       25      8.96%      1.503       12      6.56%      1.860       3      8.31%      1.773
MixedStructure               2      CompressionProcessing               7      1.97%      0.107        1      3.57%      0.274        0      0.00%        N/A       2      2.77%      0.190
MixedStructure               2      DecayToNeutral                    106     29.86%      7.085        8     28.57%      7.442        7     25.93%      5.815       3     28.12%      6.781
MixedStructure               2      DestructiveRotation                 2      0.56%      0.210        0      0.00%        N/A        1      3.70%      0.904       2      2.13%      0.557
MixedStructure               2      ExhaustionPersistence              43     12.11%      2.267        3     10.71%      1.633        0      0.00%        N/A       2     11.41%      1.950
MixedStructure               2      MixedStructure                     42     11.83%      1.137        5     17.86%      1.531        4     14.81%      1.329       3     14.83%      1.332
MixedStructure               2      NeutralProcessing                 111     31.27%      0.649        7     25.00%      0.525        9     33.33%      0.659       3     29.87%      0.611
MixedStructure               2      ReassertionProcessing              18      5.07%      0.889        0      0.00%        N/A        2      7.41%      0.798       2      6.24%      0.844
MixedStructure               2      RecoveryResolution                 26      7.32%      1.523        4     14.29%      2.396        4     14.81%      4.203       3     12.14%      2.707
MixedStructure               3      DecayToNeutral                     17     40.48%      9.604        0      0.00%        N/A        1     25.00%      5.608       2     32.74%      7.606
MixedStructure               3      DestructiveRotation                 1      2.38%      0.886        0      0.00%        N/A        1     25.00%      6.104       2     13.69%      3.495
MixedStructure               3      MixedStructure                      8     19.05%      1.830        2     40.00%      3.429        2     50.00%      4.486       3     36.35%      3.248
MixedStructure               3      RecoveryResolution                  5     11.90%      2.475        1     20.00%      3.354        0      0.00%        N/A       2     15.95%      2.914
MixedStructure               4      NeutralProcessing                   2     25.00%      0.519        2    100.00%      2.099        1     50.00%      0.988       3     58.33%      1.202
NeutralProcessing            1      CompressionProcessing             835     14.72%      0.800       45     10.11%      0.775       21      7.07%      0.665       3     10.63%      0.747
