Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection
ES,xApvaV01StateLog_ES.csv,2560,2026-05-14 09:55:00,Unresolved,Degrading->Degrading->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.3709505944503406,0.2222222222222222,0.6,0.0,0.0,0.1040643728901735,0.0277777777777777,0.6920933656246315,0.3832287758693453,CompressionPressure,0.6920933656246315,7525.0,7525.0,7519.25,7522.0,Down,-1,7525.0,5.75,5.464285714285714,5,7509.0,-13.0,-2.379084967320261,13.0,2.379084967320261,13.75,-5.5,2.5163398692810457,-1.0065359477124185,1,1
ES,xApvaV01StateLog_ES.csv,2561,2026-05-14 10:00:00,Unresolved,Degrading->Unresolved->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.4854752972230063,0.2222222222222222,0.5,0.0,0.0,0.0836294086674746,0.0277777777777777,0.6432689050346733,0.4082810546008659,CompressionPressure,0.6432689050346733,7522.0,7522.75,7515.75,7522.75,Down,-1,7522.0,7.0,5.821428571428571,5,7511.25,-11.5,-1.9754601226993864,11.5,1.9754601226993864,15.75,-4.75,2.705521472392638,-0.8159509202453988,1,1
ES,xApvaV01StateLog_ES.csv,2562,2026-05-14 10:05:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.4854752972230063,0.3333333333333333,0.5,0.0,0.0,0.0714766308896969,0.0416666666666666,0.6154911272568955,0.4499477212675326,CompressionPressure,0.6154911272568955,7522.5,7527.5,7522.25,7526.0,Up,1,7522.75,5.25,6.053571428571429,5,7513.5,-12.5,-2.0648967551622417,-12.5,-2.0648967551622417,0.25,-19.0,0.0412979351032448,-3.1386430678466075,0,1
ES,xApvaV01StateLog_ES.csv,2563,2026-05-14 10:10:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.4854752972230063,0.3333333333333333,0.5,0.0,0.0,0.0714766308896969,0.0416666666666666,0.6154911272568955,0.4499477212675326,CompressionPressure,0.6154911272568955,7526.0,7526.25,7518.5,7518.5,Up,1,7526.0,7.75,6.160714285714286,5,7514.75,-3.75,-0.6086956521739131,-3.75,-0.6086956521739131,3.75,-11.5,0.6086956521739131,-1.8666666666666667,0,1
ES,xApvaV01StateLog_ES.csv,2564,2026-05-14 10:15:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.4854752972230063,0.3333333333333333,0.5,0.0,0.0,0.0714766308896969,0.0416666666666666,0.6154911272568955,0.4499477212675326,CompressionPressure,0.6154911272568955,7518.5,7522.25,7513.75,7515.0,Down,-1,7518.5,8.5,6.535714285714286,5,7520.75,5.75,0.8797814207650273,-5.75,-0.8797814207650273,8.0,-7.0,1.2240437158469946,-1.0710382513661203,0,1
ES,xApvaV01StateLog_ES.csv,2567,2026-05-14 10:30:00,Unresolved,Unresolved->Degrading->Degrading->Unresolved,Stable Compression Basin,Exact,1.0,1.5709505944503404,0.4444444444444444,0.4,0.0,0.0,0.0411129840012847,0.0555555555555555,0.5407044767357427,0.5103121092026786,CompressionPressure,0.5407044767357427,7511.5,7514.0,7507.25,7513.5,Up,1,7511.25,6.75,7.178571428571429,5,7523.25,9.75,1.3582089552238803,9.75,1.3582089552238803,13.5,-2.5,1.880597014925373,-0.3482587064676616,1,1
ES,xApvaV01StateLog_ES.csv,2571,2026-05-14 10:50:00,Unresolved,Balance->Unresolved->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.8464393446652445,0.4444444444444444,0.4,0.0,0.0,0.0388888888888888,0.0555555555555555,0.538888888888889,0.5166666666666666,CompressionPressure,0.538888888888889,7521.75,7526.75,7521.5,7525.75,Up,1,7521.5,5.25,6.714285714285714,5,7522.75,-3.0,-0.4468085106382978,-3.0,-0.4468085106382978,1.25,-14.75,0.1861702127659574,-2.1968085106382977,0,1
ES,xApvaV01StateLog_ES.csv,2574,2026-05-14 11:05:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.8464393446652445,0.4444444444444444,0.4,0.0,0.0,0.0388888888888888,0.0555555555555555,0.538888888888889,0.5166666666666666,CompressionPressure,0.538888888888889,7521.5,7521.5,7511.0,7513.25,Down,-1,7521.5,10.5,6.75,5,7519.75,6.5,0.9629629629629628,-6.5,-0.9629629629629628,1.25,-14.25,0.1851851851851851,-2.111111111111111,0,1
ES,xApvaV01StateLog_ES.csv,2575,2026-05-14 11:10:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.7219280948815914,0.4444444444444444,0.4,0.0,0.0,0.0388888888888888,0.0555555555555555,0.538888888888889,0.5166666666666666,CompressionPressure,0.538888888888889,7513.25,7518.0,7512.0,7517.5,Down,-1,7513.25,6.0,6.678571428571429,5,7522.25,4.75,0.7112299465240641,-4.75,-0.7112299465240641,1.5,-10.0,0.2245989304812834,-1.497326203208556,0,1
ES,xApvaV01StateLog_ES.csv,2576,2026-05-14 11:15:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.360964047439353,0.3333333333333333,0.5,0.0,0.0,0.0810095234512578,0.0416666666666666,0.6232730803683738,0.4227108853773584,CompressionPressure,0.6232730803683738,7517.75,7522.75,7516.0,7522.75,Up,1,7517.5,6.75,6.785714285714286,5,7522.0,-0.75,-0.1105263157894736,-0.75,-0.1105263157894736,4.75,-4.75,0.7000000000000001,-0.7000000000000001,0,1
