APVA Neutral Failure Timing Study v0.1 - Aggregate
================================================================================================
Instrument: ALL
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv; .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv; .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
ReferenceFailureCount: 2331
StableControlCount: 16494
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
NeutralProcessing_Age2 | 1051 | 931 | 80 | 40 | 45.09%
NeutralProcessing_Age6-10 | 586 | 507 | 40 | 39 | 25.14%
NeutralProcessing_Age3 | 276 | 242 | 19 | 15 | 11.84%
NeutralProcessing_Age5 | 166 | 145 | 14 | 7 | 7.12%
NeutralProcessing_Age11-20 | 141 | 126 | 5 | 10 | 6.05%
NeutralProcessing_Age4 | 100 | 90 | 8 | 2 | 4.29%
NeutralProcessing_Age21+ | 11 | 11 | 0 | 0 | 0.47%

2. Warning Window Signal Table
FailureNode | AgeBucket | Horizon | Signal | FailureMean | ControlMean | EffectSize | ReplicationCount
AllFailureNodes | 11-20 | t-5 | PolarityFlipFlag | 0.6170 | 0.7134 | -0.2053 | 0
AllFailureNodes | 3 | t-5 | RangeRelativeToPrevious | 0.8303 | 0.9277 | -0.2036 | 0
AllFailureNodes | 3 | t-5 | TrueRangeRelativeToPrevious | 0.8346 | 0.9342 | -0.2027 | 0
AllFailureNodes | 5 | t-5 | BodyRelativeToPrevious | 1.1214 | 1.5482 | -0.1966 | 1
AllFailureNodes | 5 | t-1 | VolumeRelativeToSessionMean | 0.7794 | 0.5595 | 0.1924 | 1
AllFailureNodes | 6-10 | t-1 | BodyRelativeToPrevious | 2.1634 | 1.4395 | 0.1903 | 2
AllFailureNodes | All | t-2 | VolumeRelativeToRollingMean | 0.8368 | 0.7007 | 0.1892 | 1
AllFailureNodes | All | t-0 | VolumeRelativeToRollingMean | 0.7609 | 0.6418 | 0.1887 | 0
AllFailureNodes | 21+ | t-2 | PolarityFlipFlag | 0.5455 | 0.6364 | -0.1857 | 0
AllFailureNodes | 11-20 | t-2 | CloseLocation | 0.5564 | 0.4930 | 0.1847 | 1
AllFailureNodes | 4 | t-3 | TrueRangeRelativeToPrevious | 0.9691 | 0.8966 | 0.1832 | 0
AllFailureNodes | All | t-3 | BodyRelativeToPrevious | 2.0049 | 1.4414 | 0.1818 | 1
AllFailureNodes | 6-10 | t-1 | VolumeRelativeToSessionMean | 0.6393 | 0.5396 | 0.1815 | 2
AllFailureNodes | 4 | t-3 | RangeRelativeToPrevious | 0.9670 | 0.8952 | 0.1797 | 0
AllFailureNodes | 2 | t-2 | TrueRangeRelativeToPrevious | 1.2051 | 1.0773 | 0.1794 | 2
AllFailureNodes | 5 | t-1 | VolumeRelativeToRollingMean | 1.0166 | 0.6278 | 0.1791 | 2
AllFailureNodes | 2 | t-2 | RangeRelativeToPrevious | 1.2227 | 1.0896 | 0.1775 | 2
AllFailureNodes | 5 | t-1 | VolumeRelativeToPrevious | 2.1788 | 1.2648 | 0.1751 | 2
AllFailureNodes | 4 | t-3 | VolumeRelativeToPrevious | 1.0490 | 0.9308 | 0.1711 | 0
AllFailureNodes | 5 | t-3 | VolumeRelativeToRollingMean | 0.6848 | 0.6006 | 0.1704 | 2
AllFailureNodes | 6-10 | t-1 | RangeRelativeToPrevious | 1.2737 | 1.1415 | 0.1665 | 2
AllFailureNodes | 5 | t-2 | VolumeRelativeToRollingMean | 0.6672 | 0.5907 | 0.1661 | 0
AllFailureNodes | 3 | t-2 | VolumeRelativeToRollingMean | 0.8043 | 0.7044 | 0.1658 | 1
AllFailureNodes | 5 | t-3 | VolumeRelativeToPrevious | 1.1421 | 1.0104 | 0.1650 | 0
AllFailureNodes | 11-20 | t-1 | VolumeRelativeToRollingMean | 0.7765 | 0.6464 | 0.1623 | 2
AllFailureNodes | 3 | t-5 | BodyRelativeToPrevious | 0.8239 | 1.1434 | -0.1621 | 0
AllFailureNodes | 11-20 | t-1 | VolumeRelativeToPrevious | 1.6513 | 1.3269 | 0.1606 | 1
AllFailureNodes | 3 | t-5 | VolumeRelativeToSessionMean | 0.7237 | 0.8680 | -0.1597 | 2
AllFailureNodes | 6-10 | t-1 | TrueRangeRelativeToPrevious | 1.2507 | 1.1342 | 0.1579 | 2
AllFailureNodes | 3 | t-5 | PolarityFlipFlag | 0.6449 | 0.5688 | 0.1563 | 0
AllFailureNodes | 4 | t-5 | CloseLocation | 0.5283 | 0.4739 | 0.1552 | 2
AllFailureNodes | 11-20 | t-1 | BodyRelativeToPrevious | 1.9973 | 1.2943 | 0.1542 | 1
