Timestamp,Instrument,Open,High,Low,Close,Volume,StructuralState,AgeBucket,StateAgeNode,LoopPhase,PreviousLoopPhase,DestinationFamily,FailureWarningScore,RangePressure,BodyPressure,VolumePressure,EfficiencyPressure,CloseExtremePressure,PolarityInstability,RangeRelativeToPrevious,BodyRelativeToPrevious,VolumeRelativeToRollingMean,VolumeRelativeToPrevious,VolumeRelativeToSessionMean,EfficiencyRatio,CloseLocation,VolumePolarity,NeutralPersistenceBars,PriorNeutralPersistenceBars,DirectFormationToDestinationFlag,LateNeutralReachableFlag,NeutralExitReason,RawCandidateStructuralState,CandidateStructuralState,CandidateStateAge,ConfirmedStructuralState,CandidateConfirmedFlag,CandidateFamily,ConfirmedFamily,CompressionProcessingFamilyCandidateCount,ReassertionProcessingFamilyCandidateCount,MixedStructureFamilyCandidateCount,ExhaustionPersistenceFamilyCandidateCount,RecoveryResolutionFamilyCandidateCount,CompressionProcessingFamilyConfirmedCount,ReassertionProcessingFamilyConfirmedCount,MixedStructureFamilyConfirmedCount,ExhaustionPersistenceFamilyConfirmedCount,RecoveryResolutionFamilyConfirmedCount,SuppressedCompressionCount,SuppressedReassertionCount,DestinationCompressionCount,DestinationReassertionCount,DestinationMixedCount,DestinationExhaustionCount,DestinationRecoveryCount,ExcursionPercentWarning,NeutralProcessingPercentWarning,LateNeutralPercentWarning,DestinationCompressionZeroWarning,DestinationReassertionZeroWarning
2026-05-11 12:05:00,NQ JUN26,29388.75,29404,29377,29379.5,4897,NeutralProcessing,1,NeutralProcessing_Age1,NeutralFormation,DestinationSelection,N/A,2,false,false,true,false,true,false,0.46551724,0.19371728,1.73069447,0.93116562,1.03683444,0.34259259,0.09259259,Red,1,0,false,false,ReturnToNeutral,NeutralProcessing,,0,NeutralProcessing,true,NeutralProcessing,N/A,20,27,150,65,26,0,0,43,50,3,20,27,0,4,23,42,22,false,false,false,true,false
2026-05-11 12:10:00,NQ JUN26,29379.75,29427.25,29376,29424.75,4903,ExhaustionPersistence,1,ExhaustionPersistence_Age1,DestinationSelection,NeutralFormation,ExhaustionPersistence,6,true,true,true,true,true,true,1.89814815,4.86486486,1.68914613,1.00122524,1.03752342,0.87804878,0.95121951,Black,0,1,true,false,ExtremeBreakConfirmed,ExhaustionPersistence,,0,ExhaustionPersistence,true,ExhaustionPersistence,ExhaustionPersistence,20,27,150,66,26,0,0,43,51,3,20,27,0,4,23,43,22,false,false,false,true,false
2026-05-11 12:15:00,NQ JUN26,29424.5,29434.5,29410,29416,4025,NeutralProcessing,1,NeutralProcessing_Age1,NeutralFormation,DestinationSelection,N/A,2,false,false,true,false,false,true,0.47804878,0.18888889,1.34741564,0.82092596,0.85356409,0.34693878,0.24489796,Red,1,0,false,false,ReturnToNeutral,NeutralProcessing,,0,NeutralProcessing,true,NeutralProcessing,N/A,20,27,150,66,26,0,0,43,51,3,20,27,0,4,23,43,22,false,false,false,true,false
2026-05-11 12:20:00,NQ JUN26,29416.25,29419.5,29393.5,29408.75,3708,NeutralProcessing,2,NeutralProcessing_Age2,NeutralMaturation,NeutralFormation,N/A,2,true,false,true,false,false,false,1.06122449,0.88235294,1.22301565,0.92124224,0.78874678,0.28846154,0.58653846,Red,2,0,false,false,None,NeutralProcessing,,0,NeutralProcessing,false,NeutralProcessing,N/A,20,27,150,66,26,0,0,43,51,3,20,27,0,4,23,43,22,false,false,false,true,false
2026-05-11 12:25:00,NQ JUN26,29408.25,29412.5,29382.75,29386.25,3170,ExhaustionPersistence,1,ExhaustionPersistence_Age1,DestinationSelection,NeutralMaturation,ExhaustionPersistence,5,true,true,true,true,true,false,1.14423077,2.93333333,1.03965104,0.85490831,0.67741363,0.7394958,0.11764706,Red,0,2,false,false,ExtremeBreakConfirmed,ExhaustionPersistence,,0,ExhaustionPersistence,true,ExhaustionPersistence,ExhaustionPersistence,20,27,150,67,26,0,0,43,52,3,20,27,0,4,23,44,22,false,false,false,true,false
2026-05-11 12:30:00,NQ JUN26,29386.75,29393.5,29371.25,29382,5027,NeutralProcessing,1,NeutralProcessing_Age1,NeutralFormation,DestinationSelection,N/A,1,false,false,true,false,false,false,0.74789916,0.21590909,1.62378668,1.58580442,1.07313891,0.21348315,0.48314607,Red,1,0,false,false,ReturnToNeutral,NeutralProcessing,,0,NeutralProcessing,true,NeutralProcessing,N/A,20,27,150,67,26,0,0,43,52,3,20,27,0,4,23,44,22,false,false,false,true,false
2026-05-11 12:35:00,NQ JUN26,29381.75,29408.5,29375.75,29386.75,4574,NeutralProcessing,2,NeutralProcessing_Age2,NeutralMaturation,NeutralFormation,N/A,4,true,true,true,false,false,true,1.47191011,1.05263158,1.43527308,0.90988661,0.97675004,0.15267176,0.33587786,Black,2,0,false,false,BlockedEarlyExit,MixedStructure,MixedStructure,1,NeutralProcessing,false,MixedStructure,N/A,20,27,151,67,26,0,0,43,52,3,20,27,0,4,23,44,22,false,false,false,true,false
2026-05-11 12:40:00,NQ JUN26,29387.5,29393.75,29371.5,29389.5,4003,NeutralProcessing,3,NeutralProcessing_Age3,NeutralMaturation,NeutralMaturation,N/A,2,false,false,true,false,true,false,0.67938931,0.4,1.22370995,0.87516397,0.85649684,0.08988764,0.80898876,Black,3,0,false,false,None,NeutralProcessing,,0,NeutralProcessing,false,NeutralProcessing,N/A,20,27,151,67,26,0,0,43,52,3,20,27,0,4,23,44,22,false,false,false,true,false
2026-05-11 12:45:00,NQ JUN26,29390.25,29398.75,29373.5,29382.25,3124,NeutralProcessing,4,NeutralProcessing_Age4,NeutralMaturation,NeutralMaturation,N/A,4,true,true,false,true,false,true,1.13483146,4,0.93673163,0.78041469,0.67139095,0.31683168,0.34653465,Red,4,0,false,false,CandidatePending,MixedStructure,MixedStructure,1,NeutralProcessing,false,MixedStructure,N/A,20,27,152,67,26,0,0,43,52,3,20,27,0,4,23,44,22,false,false,false,true,false
2026-05-11 12:50:00,NQ JUN26,29382,29405.75,29376.5,29402.25,3970,ExhaustionPersistence,1,ExhaustionPersistence_Age1,DestinationSelection,NeutralMaturation,RecoveryResolution,6,true,true,true,true,true,true,1.15841584,2.53125,1.18581798,1.27080666,0.85485923,0.69230769,0.88034188,Black,0,4,false,false,ExtremeBreakConfirmed,ExhaustionPersistence,,0,ExhaustionPersistence,true,ExhaustionPersistence,ExhaustionPersistence,20,27,152,68,26,0,0,43,53,3,20,27,0,4,23,44,23,false,false,false,true,false
