Timestamp,Instrument,BarsUntilDestinationSelection
2026-05-22 12:10:00,NQ JUN26,4
2026-05-22 12:15:00,NQ JUN26,3
2026-05-22 12:20:00,NQ JUN26,2
2026-05-22 12:25:00,NQ JUN26,1
2026-05-22 13:25:00,NQ JUN26,2
2026-05-22 13:30:00,NQ JUN26,1
2026-05-25 07:40:00,NQ JUN26,1
2026-05-25 08:15:00,NQ JUN26,2
2026-05-25 08:20:00,NQ JUN26,1
2026-05-25 08:50:00,NQ JUN26,1
2026-05-26 07:10:00,NQ JUN26,1
2026-05-26 07:40:00,NQ JUN26,2
2026-05-26 07:45:00,NQ JUN26,1
2026-05-26 08:45:00,NQ JUN26,1
2026-05-26 09:30:00,NQ JUN26,3
2026-05-26 09:35:00,NQ JUN26,2
2026-05-26 09:40:00,NQ JUN26,1
2026-05-26 10:10:00,NQ JUN26,2
2026-05-26 10:15:00,NQ JUN26,1
2026-05-26 11:00:00,NQ JUN26,1
2026-05-26 13:25:00,NQ JUN26,4
2026-05-26 13:30:00,NQ JUN26,3
2026-05-26 13:35:00,NQ JUN26,2
2026-05-26 13:40:00,NQ JUN26,1
2026-05-27 07:50:00,NQ JUN26,2
2026-05-27 07:55:00,NQ JUN26,1
2026-05-27 08:55:00,NQ JUN26,3
2026-05-27 09:00:00,NQ JUN26,2
2026-05-27 09:05:00,NQ JUN26,1
2026-05-27 09:55:00,NQ JUN26,3
2026-05-27 10:00:00,NQ JUN26,2
2026-05-27 10:05:00,NQ JUN26,1
2026-05-28 07:05:00,NQ JUN26,1
2026-05-28 08:45:00,NQ JUN26,5
2026-05-28 08:50:00,NQ JUN26,4
2026-05-28 08:55:00,NQ JUN26,3
2026-05-28 09:00:00,NQ JUN26,2
2026-05-28 09:05:00,NQ JUN26,1
2026-05-28 09:45:00,NQ JUN26,3
2026-05-28 09:50:00,NQ JUN26,2
2026-05-28 09:55:00,NQ JUN26,1
2026-05-28 10:25:00,NQ JUN26,3
2026-05-28 10:30:00,NQ JUN26,2
2026-05-28 10:35:00,NQ JUN26,1
2026-05-28 11:50:00,NQ JUN26,1
2026-05-28 13:20:00,NQ JUN26,8
2026-05-28 13:25:00,NQ JUN26,7
2026-05-28 13:30:00,NQ JUN26,6
2026-05-28 13:35:00,NQ JUN26,5
2026-05-28 13:40:00,NQ JUN26,4
2026-05-28 13:45:00,NQ JUN26,3
2026-05-28 13:50:00,NQ JUN26,2
2026-05-28 13:55:00,NQ JUN26,1
2026-05-29 07:35:00,NQ JUN26,1
2026-05-29 09:30:00,NQ JUN26,1
2026-05-29 10:10:00,NQ JUN26,9
2026-05-29 10:15:00,NQ JUN26,8
2026-05-29 10:20:00,NQ JUN26,7
2026-05-29 10:25:00,NQ JUN26,6
2026-05-29 10:30:00,NQ JUN26,5
2026-05-29 10:35:00,NQ JUN26,4
2026-05-29 10:40:00,NQ JUN26,3
2026-05-29 10:45:00,NQ JUN26,2
2026-05-29 10:50:00,NQ JUN26,1
2026-05-29 12:15:00,NQ JUN26,1
2026-05-29 13:20:00,NQ JUN26,6
2026-05-29 13:25:00,NQ JUN26,5
2026-05-29 13:30:00,NQ JUN26,4
2026-05-29 13:35:00,NQ JUN26,3
2026-05-29 13:40:00,NQ JUN26,2
2026-05-29 13:45:00,NQ JUN26,1
2026-06-01 08:00:00,NQ JUN26,2
2026-06-01 08:05:00,NQ JUN26,1
2026-06-01 09:00:00,NQ JUN26,1
2026-06-01 09:30:00,NQ JUN26,4
2026-06-01 09:35:00,NQ JUN26,3
2026-06-01 09:40:00,NQ JUN26,2
2026-06-01 09:45:00,NQ JUN26,1
2026-06-01 11:10:00,NQ JUN26,1
2026-06-01 12:30:00,NQ JUN26,1
2026-06-01 13:35:00,NQ JUN26,3
2026-06-01 13:40:00,NQ JUN26,2
2026-06-01 13:45:00,NQ JUN26,1
2026-06-02 08:35:00,NQ JUN26,4
2026-06-02 08:40:00,NQ JUN26,3
2026-06-02 08:45:00,NQ JUN26,2
2026-06-02 08:50:00,NQ JUN26,1
2026-06-02 09:35:00,NQ JUN26,3
2026-06-02 09:40:00,NQ JUN26,2
2026-06-02 09:45:00,NQ JUN26,1
2026-06-02 10:15:00,NQ JUN26,1
2026-06-02 11:35:00,NQ JUN26,1
2026-06-02 13:30:00,NQ JUN26,5
2026-06-02 13:35:00,NQ JUN26,4
2026-06-02 13:40:00,NQ JUN26,3
2026-06-02 13:45:00,NQ JUN26,2
2026-06-02 13:50:00,NQ JUN26,1
2026-06-03 08:15:00,NQ JUN26,2
2026-06-03 08:20:00,NQ JUN26,1
2026-06-03 09:00:00,NQ JUN26,4
2026-06-03 09:05:00,NQ JUN26,3
2026-06-03 09:10:00,NQ JUN26,2
2026-06-03 09:15:00,NQ JUN26,1
2026-06-03 10:05:00,NQ JUN26,1
2026-06-03 10:40:00,NQ JUN26,1
2026-06-03 12:20:00,NQ JUN26,4
2026-06-03 12:25:00,NQ JUN26,3
2026-06-03 12:30:00,NQ JUN26,2
2026-06-03 12:35:00,NQ JUN26,1
2026-06-03 13:20:00,NQ JUN26,N/A
2026-06-03 13:25:00,NQ JUN26,N/A
2026-06-03 13:30:00,NQ JUN26,N/A
2026-06-03 13:35:00,NQ JUN26,N/A
2026-06-03 13:40:00,NQ JUN26,N/A
2026-06-03 13:45:00,NQ JUN26,N/A
2026-06-03 13:50:00,NQ JUN26,N/A
2026-06-03 13:55:00,NQ JUN26,N/A
