method,block_size,boot_mean
iid,,0.06896291018718417
iid,,0.11691362883377276
iid,,0.19805955081928142
iid,,0.2017956661321266
iid,,0.22689059768937725
iid,,0.10288263867731118
iid,,0.1295299485648795
iid,,0.14982276566998995
iid,,0.17554184735185183
iid,,0.18030725084892846
iid,,0.15197356831042996
iid,,0.22508735453296952
iid,,0.20548158016749354
iid,,0.21210484240716762
iid,,0.19389214865868906
iid,,0.16490287333124512
iid,,0.22404523221048928
iid,,0.16018301020681072
iid,,0.11594463731412857
iid,,0.178116616241168
iid,,0.22603094267779808
iid,,0.23115022278596664
iid,,0.20767890156355404
iid,,0.10754637560436638
iid,,0.19935798759600232
iid,,0.14800051416218918
iid,,0.19364396356126082
iid,,0.23129109054140864
iid,,0.20586094609727146
iid,,0.17647728388792822
iid,,0.14833944294163426
iid,,0.19805928192175654
iid,,0.15827160400673876
iid,,0.2258629992976477
iid,,0.12483824657314667
iid,,0.14622670682204125
iid,,0.21559505226999007
iid,,0.19570967298917344
iid,,0.19497564627763878
iid,,0.12406945108183472
iid,,0.1706981218866244
iid,,0.19178644258736272
iid,,0.12978512067227732
iid,,0.18681429882923115
iid,,0.2236905168039164
iid,,0.13304678736087774
iid,,0.12629865372971796
iid,,0.22517795534712773
iid,,0.22282570584282646
iid,,0.1759776666754435
iid,,0.14383381493350658
iid,,0.20872671012865043
iid,,0.16838629462259505
iid,,0.18601259592014105
iid,,0.22626204246820947
iid,,0.2376748066648445
iid,,0.17424274371931384
iid,,0.11449867382261952
iid,,0.16148105606428909
iid,,0.16785937638628337
iid,,0.18714393763780662
iid,,0.10731978837437602
iid,,0.12385523171406014
iid,,0.13188676248189285
iid,,0.17156403289457525
iid,,0.16769310333746978
iid,,0.11126602233131655
iid,,0.204805137852208
iid,,0.24175847719291288
iid,,0.10826189084568347
iid,,0.2103306097824485
iid,,0.12482754323971659
iid,,0.20698938108752293
iid,,0.16907518771642846
iid,,0.18500489706950496
iid,,0.17018612064088906
iid,,0.18317514387011927
iid,,0.1999611453016017
iid,,0.18912569410830504
iid,,0.18735909806081563
iid,,0.1624851187515397
iid,,0.11172792842096659
iid,,0.1850601461717468
iid,,0.19531696649695185
iid,,0.17631578541691278
iid,,0.1820276409806388
iid,,0.13320452511308137
iid,,0.15507230714039907
iid,,0.11967018090267204
iid,,0.18501346821645764
iid,,0.19830506755449104
iid,,0.14965228168413106
iid,,0.10343738489203204
iid,,0.22662788449190607
iid,,0.22449551246112984
iid,,0.2808884755942974
iid,,0.22110880751939732
iid,,0.1517534825726381
iid,,0.21424538150186354
iid,,0.1510075023298296
iid,,0.1795641302956162
iid,,0.18644391236181881
iid,,0.1967024949456026
iid,,0.1904791206786752
iid,,0.19779629079057393
iid,,0.15537440643161227
iid,,0.2577136897073327
iid,,0.17418312082893173
iid,,0.17556044949874586
iid,,0.1804909749927931
iid,,0.1905763808216133
iid,,0.19548862474821246
iid,,0.13144960677905038
iid,,0.15980707163374794
iid,,0.1550753785967679
iid,,0.23911390103697683
iid,,0.1688214599207264
iid,,0.0818553271902946
iid,,0.13037684153136836
iid,,0.10891049847237753
iid,,0.16693956120980924
iid,,0.15051740245845102
iid,,0.1631206731842176
iid,,0.18953230960155484
iid,,0.21822177290560518
iid,,0.19165611659542692
iid,,0.17406989776537707
iid,,0.16211370703392602
iid,,0.16270455831377612
iid,,0.1712768198040674
iid,,0.15515843016120642
iid,,0.16347778897027304
iid,,0.1385583150699319
iid,,0.19454210285634893
iid,,0.06569838690189685
iid,,0.13693695789011878
iid,,0.17397369726636713
iid,,0.16344983622129308
iid,,0.25212019999839436
iid,,0.24394886438829677
iid,,0.17998808382420944
iid,,0.24127013578119794
iid,,0.2200452539387097
iid,,0.11775774468251761
iid,,0.18114893452733738
iid,,0.15934698915673104
iid,,0.18231127482806458
iid,,0.23832074263951442
iid,,0.17423354111457537
iid,,0.1518716106259385
iid,,0.1467401037899457
iid,,0.20374924634682245
iid,,0.19783166053257198
iid,,0.20590935266550195
iid,,0.161834533567001
iid,,0.15351211402693934
iid,,0.20977153755038372
iid,,0.19592438264071177
iid,,0.17669848287470713
iid,,0.17106529893477415
iid,,0.22182178147855777
iid,,0.18018193673671085
iid,,0.14567473470329048
iid,,0.16060765701192478
iid,,0.13436496413567564
iid,,0.16836230764411733
iid,,0.10143862080109438
iid,,0.17143208345216643
iid,,0.1610493687300914
iid,,0.1612934187563607
iid,,0.18190371385229195
iid,,0.1626938702062349
iid,,0.17976105846593554
iid,,0.1520757377408229
iid,,0.26073651529184905
iid,,0.1422106896755707
iid,,0.17685046153420617
iid,,0.12398237815149095
iid,,0.22200875994119587
iid,,0.17396062353805666
iid,,0.09963171092427672
iid,,0.20075027994048716
iid,,0.052617000250262634
iid,,0.18768433927673425
iid,,0.21585637649607148
iid,,0.16248420001110095
iid,,0.1731834945342354
iid,,0.20673335305301557
iid,,0.15580880487641893
iid,,0.22909599012335913
iid,,0.2345305373256741
iid,,0.1770527406014201
iid,,0.2242445740534376
iid,,0.1523748197586715
iid,,0.1040085286862575
iid,,0.2402812115075321
iid,,0.13240788309533685
iid,,0.17105344414741827
iid,,0.15206515033718845
iid,,0.12303111024530076
iid,,0.13939776953076982
iid,,0.20446196620579082
iid,,0.10205301123721183
iid,,0.14682819895046378
iid,,0.13591671720769152
iid,,0.11081153303786963
iid,,0.224729055426813
iid,,0.15658066064486015
iid,,0.2591571171011347
iid,,0.11531256472159933
iid,,0.1761396265846865
iid,,0.16565840025689663
iid,,0.13300175000447606
iid,,0.1627160625057848
iid,,0.19804558622647297
iid,,0.2203647770373074
iid,,0.12474823287430334
iid,,0.18717175677519277
iid,,0.18244539028109047
iid,,0.16381173349987407
iid,,0.14978305020045177
iid,,0.21800222561558222
iid,,0.22700528477158446
iid,,0.17613595948189198
iid,,0.12388755200710773
iid,,0.24756249660276458
iid,,0.184036350203975
iid,,0.1951291869060334
iid,,0.1662116505881961
iid,,0.10133584826704772
iid,,0.18500860767935798
iid,,0.15312485448938193
