Threshold,Mode,Count,MeanSignedReturn,MedianSignedReturn,TStat,PositiveRowFraction,StdSignedReturn,ZeroRowFraction,NegativeRowFraction,ConditionMin,ConditionMax,ConditionMean,WeekRegimeCount,WeeklyPositiveFraction,WeeklyMeanOfMeans,WeeklyMedianOfMeans,WeeklyMinMean,WeeklyMaxMean
0.2,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.22,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.24,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.26,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.28,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.3,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.32,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.34,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.36,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.38,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.4,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.42,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.44,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.46,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.48,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.5,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.52,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.54,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.56,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.58,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.6,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.62,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.64,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.66,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.68,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.7,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.72,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.74,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.76,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.78,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.8,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.82,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.84,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.86,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.88,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.9,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.92,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.94,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.96,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.98,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
1.0,le,2039,0.42790583619421285,0.0,1.417939816898459,0.48749386954389407,13.626961368274433,0.014713094654242276,0.4977930358018637,0.0,1.0,0.00196174595389897,7,0.42857142857142855,0.43962311924690906,-0.03511705685618729,-1.019572953736655,2.314176245210728
