ValidationMode,ValidationModeRule,Dataset,Candidate,CandidateRule,Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection,InTargetState,TargetEntry,PriorPressureSeq,PriorSlope_DominantPressureValue,NormalizedPolicyOutcome,DisasterStopped,PositiveOutcome,RegimeWeek,TimeBlock,Overlaps_CCRRR,Overlaps_RRCCC,OverlapClass,RegimeCode,Regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),ES,xApvaV01StateLog_ES062021.csv,175,2021-04-21 06:40:00,Unresolved,Balance->Balance->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,0.9709505944517832,0.4444444444444444,0.6,0.0,0.0,0.1103838173345075,0.0555555555555555,0.6615378100689858,0.3790621092029942,CompressionPressure,0.6615378100689858,4119.5,4123.0,4117.75,4120.25,Up,1,4119.25,5.25,2.875,5,4136.75,16.5,5.739130434782608,16.5,5.739130434782608,19.5,-1.75,6.782608695652174,-0.6086956521739131,1,1,True,True,RotationalPressure > RotationalPressure > RotationalPressure > RotationalPressure > RotationalPressure,0.0094490508727494,5.739130434782608,False,True,2021-W16,B01_2021-W16,False,False,BaseOnly_NeitherGrammar,2021,2021 | 2021 observed regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_es_nq_122022_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),NQ,xApvaV01StateLog_NQ122022.csv,2994,2022-12-05 09:50:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.2222222222222222,0.6,0.0,0.0,0.1098439803286126,0.0277777777777777,0.6968114125131533,0.3667156117595194,CompressionPressure,0.6968114125131533,11869.25,11878.25,11867.5,11869.0,Up,1,11869.25,10.75,19.25,5,11851.75,-17.25,-0.8961038961038961,-17.25,-0.8961038961038961,11.5,-34.75,0.5974025974025974,-1.8051948051948048,0,1,True,True,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,0.0199958246662994,-0.8961038961038961,False,False,2022-W49,B08_2022-W49,False,False,BaseOnly_NeitherGrammar,2022,2022 | tightening / bear trend
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_es_nq_122022_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),NQ,xApvaV01StateLog_NQ122022.csv,3199,2022-12-07 11:55:00,Unresolved,Unresolved->Unresolved->Balance->Unresolved,Stable Compression Basin,Exact,1.0,0.9999999999971146,0.5555555555555556,0.5,0.0,0.0,0.0843402777779986,0.0694444444444444,0.5902777777779582,0.4270833333327021,CompressionPressure,0.5902777777779582,11531.25,11532.75,11511.75,11521.5,Up,1,11531.25,21.0,19.321428571428573,5,11509.75,-11.75,-0.6081330868761552,-11.75,-0.6081330868761552,2.0,-39.25,0.1035120147874306,-2.031423290203327,0,1,True,True,RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure > RotationalPressure,0.0544736717803482,-2.0,True,False,2022-W49,B08_2022-W49,False,False,BaseOnly_NeitherGrammar,2022,2022 | tightening / bear trend
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_es_nq_122022_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),NQ,xApvaV01StateLog_NQ122022.csv,3204,2022-12-07 12:20:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.3333333333333333,0.6,0.0,0.0,0.0976912025508348,0.0416666666666666,0.6690336347353755,0.4083822784261861,CompressionPressure,0.6690336347353755,11520.75,11522.0,11506.75,11509.75,Up,1,11520.75,15.25,19.589285714285715,5,11521.0,11.25,0.5742935278030993,11.25,0.5742935278030993,19.75,-20.75,1.00820419325433,-1.0592525068368277,1,1,True,True,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,0.0462600322911177,0.5742935278030993,False,True,2022-W49,B08_2022-W49,False,False,BaseOnly_NeitherGrammar,2022,2022 | tightening / bear trend
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),NQ,xApvaV01StateLog_NQ092024.csv,57,2024-07-17 11:20:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.2222222222222222,0.6,0.0,0.0,0.1098439803286126,0.0277777777777777,0.6968114125131533,0.3667156117595194,CompressionPressure,0.6968114125131533,20037.25,20064.5,20035.75,20061.0,Down,-1,20036.75,28.75,27.375,5,20035.25,-25.75,-0.9406392694063926,25.75,0.9406392694063926,31.5,-14.0,1.1506849315068493,-0.5114155251141552,1,1,True,True,RotationalPressure > RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure,0.0296276378326775,0.9406392694063926,False,True,2024-W29,B01_2024-W29,False,False,BaseOnly_NeitherGrammar,generated,generated | legacy generated regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),NQ,xApvaV01StateLog_NQ092024.csv,90,2024-07-18 06:35:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.2222222222222222,0.6,0.0,0.0,0.1098439803286126,0.0277777777777777,0.6968114125131533,0.3667156117595194,CompressionPressure,0.6968114125131533,20141.0,20149.25,20093.25,20099.0,Down,-1,20016.75,132.5,25.267857142857142,5,20067.75,-31.25,-1.236749116607774,31.25,1.236749116607774,79.25,-18.75,3.1363957597173147,-0.7420494699646644,1,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,0.0232730803683738,1.236749116607774,False,True,2024-W29,B01_2024-W29,False,True,Overlap_RRCCC,generated,generated | legacy generated regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),NQ,xApvaV01StateLog_NQ092024.csv,127,2024-07-18 09:40:00,Unresolved,Unresolved->Balance->Balance->Unresolved,Stable Compression Basin,Exact,1.0,1.2954618442339936,0.5555555555555556,0.6,0.0,0.0,0.0733856469952793,0.0694444444444444,0.6134780791798199,0.4917156117595194,CompressionPressure,0.6134780791798199,19874.5,19894.5,19856.5,19892.75,Up,1,19874.0,38.0,42.30357142857143,5,19900.25,7.5,0.1772899957788096,7.5,0.1772899957788096,28.75,-30.75,0.6796116504854368,-0.7268889826931194,1,1,True,True,RotationalPressure > RotationalPressure > CompressionPressure > RotationalPressure > RotationalPressure,0.0416666666666667,0.1772899957788096,False,True,2024-W29,B01_2024-W29,False,False,BaseOnly_NeitherGrammar,generated,generated | legacy generated regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),NQ,xApvaV01StateLog_NQ092024.csv,195,2024-07-19 07:50:00,Unresolved,Unresolved->Balance->Balance->Unresolved,Stable Compression Basin,Exact,1.0,1.2954618442339936,0.5555555555555556,0.6,0.0,0.0,0.0733856469952793,0.0694444444444444,0.6134780791798199,0.4917156117595194,CompressionPressure,0.6134780791798199,19776.75,19829.75,19774.5,19812.25,Down,-1,19777.0,55.25,54.08928571428572,5,19789.0,-23.25,-0.4298448332783097,23.25,0.4298448332783097,29.25,-63.0,0.5407725321888411,-1.164740838560581,1,1,True,True,RotationalPressure > CompressionPressure > CompressionPressure > RotationalPressure > RotationalPressure,0.0272368358901741,0.4298448332783097,False,True,2024-W29,B01_2024-W29,False,False,BaseOnly_NeitherGrammar,generated,generated | legacy generated regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),NQ,xApvaV01StateLog_NQ092024.csv,215,2024-07-19 09:30:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.2222222222222222,0.6,0.0,0.0,0.1098439803286126,0.0277777777777777,0.6968114125131533,0.3667156117595194,CompressionPressure,0.6968114125131533,19739.75,19759.5,19738.25,19748.0,Down,-1,19739.75,21.25,36.625,5,19713.0,-35.0,-0.955631399317406,35.0,0.955631399317406,61.5,-7.25,1.6791808873720135,-0.1979522184300341,1,1,True,True,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,0.0097950011885539,0.955631399317406,False,True,2024-W29,B01_2024-W29,False,False,BaseOnly_NeitherGrammar,generated,generated | legacy generated regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),NQ,xApvaV01StateLog_NQ092024.csv,340,2024-07-22 12:25:00,Unresolved,Unresolved->Balance->Balance->Unresolved,Stable Compression Basin,Exact,1.0,1.2954618442339936,0.4444444444444444,0.6,0.0,0.0,0.085538424773057,0.0555555555555555,0.6412558569575977,0.4500489450928527,CompressionPressure,0.6412558569575977,20000.75,20012.25,19997.0,20009.75,Up,1,20000.5,15.25,20.642857142857142,5,20017.75,8.0,0.3875432525951557,8.0,0.3875432525951557,22.75,-27.5,1.1020761245674742,-1.3321799307958475,1,1,True,True,CompressionPressure > CompressionPressure > CompressionPressure > RotationalPressure > RotationalPressure,0.0190185151834795,0.3875432525951557,False,True,2024-W30,B02_2024-W30,False,False,BaseOnly_NeitherGrammar,generated,generated | legacy generated regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),NQ,xApvaV01StateLog_NQ092024.csv,412,2024-07-23 10:55:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.2222222222222222,0.6,0.0,0.0,0.1098439803286126,0.0277777777777777,0.6968114125131533,0.3667156117595194,CompressionPressure,0.6968114125131533,19967.25,19978.5,19958.5,19977.25,Up,1,19967.25,20.0,25.125,5,19984.25,7.0,0.2786069651741293,7.0,0.2786069651741293,19.75,-7.5,0.7860696517412935,-0.2985074626865671,1,1,True,True,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,0.0067310949655973,0.2786069651741293,False,True,2024-W30,B02_2024-W30,False,False,BaseOnly_NeitherGrammar,generated,generated | legacy generated regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),NQ,xApvaV01StateLog_NQ092024.csv,540,2024-07-25 06:35:00,Unresolved,Degrading->Unresolved->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.2954618442339936,0.3333333333333333,0.6,0.0,0.0,0.0976912025508348,0.0416666666666666,0.6690336347353755,0.4083822784261861,CompressionPressure,0.6690336347353755,19217.5,19226.75,19138.75,19159.75,Up,1,19269.5,130.75,29.625,5,19030.5,-129.25,-4.362869198312236,-129.25,-4.362869198312236,46.25,-143.25,1.561181434599156,-4.835443037974684,0,1,True,True,CompressionPressure > CompressionPressure > RotationalPressure > CompressionPressure > CompressionPressure,0.0277777777777777,-2.0,True,False,2024-W30,B02_2024-W30,False,False,BaseOnly_NeitherGrammar,generated,generated | legacy generated regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),NQ,xApvaV01StateLog_NQ092024.csv,543,2024-07-25 06:50:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.3333333333333333,0.6,0.0,0.0,0.0976912025508348,0.0416666666666666,0.6690336347353755,0.4083822784261861,CompressionPressure,0.6690336347353755,19145.5,19171.75,19105.25,19135.5,Down,-1,19146.0,66.5,35.67857142857143,5,18927.75,-207.75,-5.822822822822823,207.75,5.822822822822823,252.25,-12.25,7.07007007007007,-0.3433433433433433,1,1,True,True,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,0.0355597308892561,5.822822822822823,False,True,2024-W30,B02_2024-W30,False,False,BaseOnly_NeitherGrammar,generated,generated | legacy generated regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),NQ,xApvaV01StateLog_NQ092024.csv,550,2024-07-25 07:25:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.3333333333333333,0.6,0.0,0.0,0.0976912025508348,0.0416666666666666,0.6690336347353755,0.4083822784261861,CompressionPressure,0.6690336347353755,19005.5,19053.75,18980.75,19052.0,Up,1,19006.25,73.0,68.21428571428571,5,19169.0,117.0,1.7151832460732983,117.0,1.7151832460732983,117.0,-22.75,1.7151832460732983,-0.3335078534031414,1,1,True,True,RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,0.0371619692572626,1.7151832460732983,False,True,2024-W30,B02_2024-W30,False,False,BaseOnly_NeitherGrammar,generated,generated | legacy generated regime
