ValidationMode,Regime,Instrument,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Sum,StopRate,ES_Count,NQ_Count,PositiveContribution,NegativeContribution,PositiveCount,NegativeCount,Top1PctWinContributionShare,Top5PctWinContributionShare,Top10PctWinContributionShare,NetContributionShare,AbsoluteNetContributionShare
Spacing_10,generated | legacy generated regime,NQ,36,0.020130440485681984,0.2554338043939805,0.09332639862258488,0.5833333333333334,1.0395065855825165,-2.0,-0.5901236394537225,0.944387301884146,1.5980814745106888,2.2227912932138283,0.7246958574845515,0.2222222222222222,0,36,19.068368103492585,-18.343672246008037,21,15,0.1165695607064927,0.2190234338429818,0.39553766147061337,0.0039912410147426745,0.0039912410147426745
Spacing_20,2020 | COVID / crisis,ES,26,0.7483402431198717,0.43520816101461257,2.5271338699742514,0.6923076923076923,3.9272274058616383,-2.0,-0.15778985507246376,1.543486787272638,2.5692541060780414,4.720930232558139,19.456846321116664,0.038461538461538464,26,0,26.103697974034098,-6.646851652917439,18,8,0.1808529288552966,0.3049003048752092,0.4134945257638128,0.12406775131505,0.11763360277009484
Spacing_20,2020 | COVID / crisis,NQ,24,0.2804146793722116,-0.043052247219524505,0.7164546475169816,0.4583333333333333,1.5483269414548655,-2.0,-0.6918990446931913,0.797094942501811,2.168484205449723,6.2093308778391645,6.729952304933078,0.16666666666666666,0,24,19.003564626583046,-12.273612321649969,11,13,0.32674558693863526,0.5127919994496335,0.629325160362384,0.04291394582401493,0.04068843033626564
Spacing_20,2021 | 2021 observed regime,ES,31,0.5997907552726959,0.2947368421052632,1.6836809879411003,0.6129032258064516,2.516041736143952,-2.0,-0.48182962030937754,1.0712714914034387,3.161290322580645,5.739999999999999,18.59351341345357,0.0967741935483871,31,0,30.858026302621198,-12.264512889167628,19,12,0.1860131929277804,0.37199820630807895,0.6168437720103955,0.1185626570812638,0.11241400249971747
Spacing_20,2021 | 2021 observed regime,NQ,24,-0.09616244268138803,-0.11416713301788389,-0.3288325908074069,0.4583333333333333,0.8236443929829687,-2.0,-0.7919500324978995,0.5010295784315291,1.0238874848917698,4.515,-2.307898624353313,0.16666666666666666,0,24,10.778720300841565,-13.086618925194879,11,13,0.41888089439035586,0.608601358707911,0.7160254966876025,-0.01471645444800838,0.013953259717952318
Spacing_20,2022 | tightening / bear trend,ES,52,0.7465644433077614,-0.28963968780070565,1.0805382908706038,0.46153846153846156,2.0320291536429496,-2.0,-1.9775449101796405,0.8048876568427197,2.8497233201581023,31.769230769230766,38.82135105200359,0.25,52,0,76.43787662685631,-37.61652557485271,24,28,0.4156215762548892,0.6461022023773536,0.7783358345421866,0.24754668092366422,0.23470892010353828
Spacing_20,2022 | tightening / bear trend,NQ,60,0.19427695112059784,0.26525672583497273,0.9324255793289676,0.5666666666666667,1.3504554661289627,-2.0,-1.0010431077755604,1.4961020849222018,1.9348014851776911,5.4855769230769225,11.65661706723587,0.2,0,60,44.91795322498437,-33.2613361577485,34,26,0.12212437409159865,0.24957022732512846,0.4013805471230791,0.07432912012585537,0.07047441497454537
Spacing_20,2024 | modern mixed regime,ES,31,0.10033485032052637,0.0,0.43111591817139067,0.4838709677419355,1.2433312787426594,-2.0,-0.7260703812316716,0.5049210049210049,2.159203980099502,3.712707182320442,3.1103803599363173,0.06451612903225806,31,0,15.892873330047948,-12.782492970111631,15,15,0.23360830387422715,0.3969358927214499,0.6884717160375479,0.01983352752151703,0.01880496158966704
Spacing_20,2024 | modern mixed regime,NQ,35,-0.028299639673964202,0.2322606436138317,-0.13084366643737258,0.5714285714285714,0.9460038657851455,-2.0,-0.6543899027506677,0.9335770476812797,1.47446328073911,2.2227912932138283,-0.9904873885887471,0.22857142857142856,0,35,17.353184857419286,-18.343672246008037,20,15,0.12809125883675943,0.2406716400547834,0.4248547151088632,-0.006315902432489852,0.005988359988822189
Spacing_20,canonical | original regime,ES,54,0.6117848850819471,0.16571969696969696,1.3390637128348835,0.5370370370370371,1.9242388263106858,-2.0,-1.8706896551724137,1.2336562978072414,2.0813234936339318,16.06518010291595,33.03638379442514,0.25925925925925924,54,0,68.78080704733864,-35.74442325291349,29,24,0.23357068334279688,0.5272445032965491,0.7078879080354586,0.2106584891153137,0.1997337484243834
Spacing_20,canonical | original regime,NQ,169,0.17578813089896247,0.0924092409240924,1.6905317675933018,0.5384615384615384,1.404252018913923,-2.0,-0.5888174171202375,0.9758179231863442,1.934218267210481,5.405602923264311,29.70819412192466,0.1301775147928994,0,169,103.19748479198661,-73.48929067006195,91,77,0.09554640210160835,0.28917754175345806,0.4525308226535975,0.18943608740630904,0.1796119396061913
Spacing_20,generated | legacy generated regime,NQ,35,-0.028299639673964202,0.2322606436138317,-0.13084366643737258,0.5714285714285714,0.9460038657851455,-2.0,-0.6543899027506677,0.9335770476812797,1.47446328073911,2.2227912932138283,-0.9904873885887471,0.22857142857142856,0,35,17.353184857419286,-18.343672246008037,20,15,0.12809125883675943,0.2406716400547834,0.4248547151088632,-0.006315902432489852,0.005988359988822189
