ValidationMode,Dataset,Regime,TimeBlock,RegimeWeek,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Sum,StopRate,ES_Count,NQ_Count,PositiveContribution,NegativeContribution,PositiveCount,NegativeCount,Top1PctWinContributionShare,Top5PctWinContributionShare,Top10PctWinContributionShare,NetContributionShare,AbsoluteNetContributionShare
Reference,tables/apva_forward_signed_return_dataset_v1.csv,canonical | original regime,B02_2026-W15,2026-W15,55,0.6654556959153837,0.3100775193798449,1.5753399097475722,0.5636363636363636,2.4158371038634723,-2.0,-0.7783972783972785,0.9442614284167417,2.126447736737899,16.06518010291595,36.6000632753461,0.12727272727272726,15,40,62.45053941802769,-25.850476142681593,31,23,0.2572464585994976,0.5633116493043194,0.678210578310401,0.1642551082093188,0.10577324861728617
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092022_generated.csv,2022 | tightening / bear trend,B05_2022-W33,2022-W33,8,4.360356005213009,0.5411455250871309,1.0962788978894742,0.625,9.116306227525204,-2.0,-0.7234042553191489,3.1198718950164035,11.808607068607062,31.769230769230766,34.88284804170407,0.25,5,3,39.1807203821296,-4.297872340425532,5,3,0.8108383526230614,0.8108383526230614,0.8108383526230614,0.22243257949268916,0.12059620671981823
Spacing_20,tables/apva_forward_signed_return_dataset_v1.csv,canonical | original regime,B05_2026-W18,2026-W18,28,0.9382799171013388,0.4759846347873805,1.8485891314883243,0.6785714285714286,4.028918762433233,-2.0,-0.25153443734815184,1.2205992262375802,3.125389206683178,12.237037037037036,26.27183767883749,0.07142857142857142,9,19,34.94550631752109,-8.673668638683603,19,9,0.35017483867164895,0.4776460337967292,0.5835377754991243,0.16752395377609694,0.09082641313687358
Spacing_20,tables/apva_forward_signed_return_dataset_v1.csv,canonical | original regime,B02_2026-W15,2026-W15,31,0.6211933079097056,0.20817843866171,1.0725169749714523,0.5483870967741935,2.310005045896886,-2.0,-0.7012547756067539,0.7390910879401928,1.875598086124402,16.06518010291595,19.256992545200873,0.12903225806451613,7,24,33.95693023285818,-14.699937687657304,17,14,0.4731046061216275,0.6322945825475184,0.746609499311653,0.12279337168741303,0.06657484649781466
Spacing_20,tables/apva_forward_signed_return_dataset_v1.csv,canonical | original regime,B03_2026-W16,2026-W16,25,0.6447478401782221,0.5560747663551402,1.5052304604169373,0.56,2.6829188808195097,-2.0,-0.5859030837004405,1.090342679127726,1.8997971602434078,7.962085308056872,16.11869600445555,0.12,5,20,25.696517127126917,-9.577821122671365,14,11,0.3098507579321548,0.5102446580813798,0.5853923706373392,0.10278183495920773,0.05572519746906164
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_122022_generated.csv,2022 | tightening / bear trend,B01_2022-W42,2022-W42,7,1.7577614394619896,1.0871331828442437,1.0815307859393852,0.7142857142857143,4.076082519058482,-2.0,-0.9036929761042723,2.203566590584349,5.973462079210551,10.61744966442953,12.304330076233928,0.2857142857142857,4,3,16.304330076233928,-4.0,5,2,0.6512042883568764,0.6512042883568764,0.6512042883568764,0.07845930110162212,0.0425382563845809
Spacing_20,tables/apva_forward_signed_return_dataset_v1.csv,canonical | original regime,B07_2026-W20,2026-W20,32,0.26311330841484126,0.43646180785040134,1.0530263022190514,0.625,1.5952826370128195,-2.0,-0.46274395655106315,1.0369473988150888,2.0163212368996626,2.853030303030303,8.41962586927492,0.1875,6,26,22.563538938074206,-14.143913068799288,20,12,0.12644427413893117,0.2499703469921536,0.4517706250080342,0.05368825097730487,0.029108143366639083
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092024_generated.csv,2024 | modern mixed regime,B05_2024-W33,2024-W33,6,1.1162830698453174,0.9613066460994376,2.5863590514702666,0.8333333333333334,47.42461818476697,-0.1442704039571311,0.3531894600551509,1.9613770628413265,2.3166709555669924,2.4741379310344827,6.697698419071904,0.0,2,4,6.841968823029036,-0.1442704039571311,5,1,0.3616119855306717,0.3616119855306717,0.3616119855306717,0.042708276980055096,0.023155134068403235
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,2021 | 2021 observed regime,B07_2021-W22,2021-W22,6,-1.0571477249350216,-1.1187596899224808,-3.5565949771119594,0.0,0.0,-2.0,-1.5328425357873212,-0.4803140275514739,-0.2796773499132593,-0.1669980119284294,-6.34288634961013,0.16666666666666666,3,3,0.0,-6.34288634961013,0,6,,,,-0.04044579646954268,0.02192848567018924
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092020_generated.csv,2020 | COVID / crisis,B14_2020-W34,2020-W34,5,1.2616927238136024,1.435897435897436,2.062286479738043,0.6,24.721198349629038,-0.1826086956521739,-0.0833333333333333,2.3037974683544302,2.622345433622764,2.834710743801653,6.308463619068013,0.0,5,0,6.574405648053519,-0.26594202898550723,3,2,0.43117369014808576,0.43117369014808576,0.43117369014808576,0.040226297856972085,0.021809480171459467
Spacing_20,tables/apva_forward_signed_return_dataset_v1.csv,canonical | original regime,B04_2026-W17,2026-W17,40,-0.15362945998847527,0.0462046204620462,-0.7442458191276377,0.5,0.7493537465521181,-2.0,-1.0927083333333334,0.8118529044126318,1.3284161214835424,2.169491525423729,-6.145178399539011,0.225,9,31,18.37215754706353,-24.517335946602536,20,19,0.11808583286237302,0.2310110082464222,0.44304378633781094,-0.039185099829521924,0.021244974140728602
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,2021 | 2021 observed regime,B01_2021-W16,2021-W16,3,1.946383370959553,0.1613559322033898,1.0257820767305916,0.6666666666666666,96.1990009474682,-0.0613362541073384,0.05000983904802571,2.950243183492999,4.623575534266765,5.739130434782608,5.839150112878659,0.0,1,2,5.900486366985998,-0.0613362541073384,2,1,0.9726537912016546,0.9726537912016546,0.9726537912016546,0.03723369204543823,0.020186979951834366
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,2021 | 2021 observed regime,B05_2021-W20,2021-W20,7,0.8296204864551914,0.3373493975903615,1.263871901493533,0.7142857142857143,5.663586933107135,-0.8888888888888888,-0.15146426092990983,1.1338254172015405,2.4524010756819066,4.394160583941606,5.80734340518634,0.0,6,1,7.052595930438865,-1.2452525252525253,5,2,0.6230557694332799,0.6230557694332799,0.6230557694332799,0.0370308746599795,0.02007701850914041
Spacing_20,tables/apva_forward_signed_return_dataset_es_nq_092022_generated.csv,2022 | tightening / bear trend,B03_2022-W31,2022-W31,9,0.5950447870863856,1.2156862745098038,1.3759068085704798,0.7777777777777778,2.856800339265911,-2.0,0.2231075697211155,1.5227127319257838,1.6557986633623907,1.7098405289770515,5.355403083777471,0.1111111111111111,5,4,8.23961361009326,-2.8842105263157896,7,2,0.20751464933774955,0.20751464933774955,0.20751464933774955,0.034149050006569724,0.01851458047769054
