Feature,GateType,Gate,Direction,FeatureMin,FeatureMax,FeatureMean,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Top5SharePositiveSum,Sum
DirectionalNormalizedMAE,quantile,Q3,inside_quantile,-0.8534246575342466,-0.4057971014492754,-0.6122321087064613,64,0.7160186916729636,0.5602431292387379,5.207418731265579,0.703125,8.552291930016082,-0.7000000000000001,-0.14332169358358793,1.2895882866708719,1.7459302325581396,5.149425287356322,0.2864439415320492,45.82519626706967
DirectionalNormalizedMFE,threshold,0.3333333333333333,ge,0.3333333333333333,19.488,1.7800612442594401,205,0.65913051581196,0.4117647058823529,4.2424389646326714,0.6487804878048781,2.946527589470712,-2.0,-0.3343283582089552,1.3238042880703684,2.1756183295550056,16.06518010291595,0.3906096271453512,135.1217557414518
RollingEntropy,quantile,Q2,inside_quantile,0.9709505944517832,1.1567796494427114,1.0365582252700685,64,0.5363005639982956,0.16495733987844785,1.7451101442461134,0.5625,2.3862954635902702,-2.0,-0.41833390227129935,0.9233084910753449,1.6505390457045044,15.68,0.5227897415402417,34.32323609589092
RollingVelocity,quantile,Q1,inside_quantile,0.1111111111111111,0.3333333333333333,0.2725694444444444,64,0.5040091959553169,0.11629339511621065,1.4958065493964097,0.546875,2.083924248664584,-2.0,-0.8487961048489295,0.9714577349701111,2.1870805071202835,16.06518010291595,0.530843247729278,32.25658854114028
RollingEntropy,quantile,Q3,inside_quantile,1.1567796494427114,1.2954618442339936,1.1936171074341457,64,0.4624614332995345,0.12806299970387913,1.422408578822132,0.53125,1.807037214510288,-2.0,-1.1643826547500828,1.3874331393936232,2.577164335029072,16.06518010291595,0.4354388642213029,29.597531731170207
RollingVelocity,threshold,0.3333333333333333,le,0.1111111111111111,0.3333333333333333,0.28758169934640515,85,0.4508302248256032,0.2235528942115768,1.6977983300925565,0.5647058823529412,1.9490474321229248,-2.0,-0.8338557993730408,1.2569659442724457,1.969115259096118,16.06518010291595,0.4500453940416003,38.32056911017627
DominantPressureValue,quantile,Q3,inside_quantile,0.6638123830209416,0.6893155878467636,0.6704085827144948,64,0.4490967447354754,0.11629339511621065,1.2798678103515861,0.546875,1.8004466238942827,-2.0,-1.132111433021926,0.915368781470292,2.0085046261565394,16.06518010291595,0.5419865251687579,28.742191663070425
RollingEntropy,threshold,0.9999999999971146,le,0.8812908992278072,0.9999999999971146,0.9432012202823571,109,0.40184171554863496,0.127016129032258,1.8372410767592635,0.5596330275229358,1.8945290555802958,-2.0,-0.6,0.9199522102747908,1.8886032794287813,15.68,0.4694670278297536,43.80074699480121
RollingEntropy,threshold,1.1567796494427114,le,0.8812908992278072,1.1567796494427114,1.0237507992799764,175,0.38636965784254956,0.1368078175895765,2.4704359105580926,0.5542857142857143,1.8363170015790546,-2.0,-0.6833333333333333,1.0991111856448097,1.9691152590961176,15.68,0.39227024024659896,67.61469012244618
DominantPressureValue,threshold,0.633760032291208,le,0.294871143402319,0.633760032291208,0.5805474943246346,54,0.3704861300648754,-0.0600310502799183,0.9873942933356198,0.46296296296296297,1.630054567176508,-2.0,-0.9176822446775774,0.9003322444961517,2.377652208577323,15.68,0.5114770600447794,20.00625102350327
